,,,Veículos de instrução,,,,,,,
,,,Motoc.,Ligeiros,Pesados,,,Tractores,Ciclom.,Total
,,,,,C,D,E,,,
,,Braga,152,420,39,11,19,10,5,656
,REGIÃO,Bragança,32,60,16,4,12,4,2,130
,NORTE,Porto,250,756,73,15,20,10,3,1127
,,V. Castelo,62,129,14,8,9,7,1,230
,,Vila Real,45,100,16,3,8,3,2,177
,,,541,1465,158,41,68,34,13,2320
,,Aveiro,106,295,36,5,21,6,9,478
,,C. Branco,39,90,15,4,10,2,3,163
,REGIÃO,Coimbra,86,250,31,7,21,5,3,403
,CENTRO,Guarda,46,96,29,2,12,4,4,193
,,Leiria,93,216,31,5,27,4,10,386
,,Viseu,82,230,38,11,24,6,4,395
,,,452,1177,180,34,115,27,33,2018
,,Lisboa,318,981,83,15,35,22,12,1466
,REGIÃO LISBOA,Santarém,85,210,46,7,26,10,3,387
,V. TEJO,Setúbal,102,262,24,4,17,5,5,419
,,,505,1453,153,26,78,37,20,2272
,,Beja,45,77,19,4,14,7,3,169
,REGIÃO,Évora,37,82,14,4,8,7,4,156
,ALENTEJO,Portalegre,26,51,12,1,5,5,2,102
,,,108,210,45,9,27,19,9,427
,R. ALGARVE,Faro,94,168,19,7,10,6,17,321
,TOTAL,,1700,4473,555,117,298,123,92,7358
