,,,,,,,,,,,,
,Acidentes c/,,,,,,,,,,,
,,,,Vítimas mortais,,,Feridos graves,,,Feridos leves,,
,vítimas,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,1999,2000,00/99,1999,2000,00/99,1999,2000,00/99,1999,2000,00/99
,,,,,,,,,,,,
Auto-Estrada,1716,1918,202,108,112,4,369,365,-4,2447,2627,180
,,,,,,,,,,,,
EstradaNacional/IP/IC,16728,15158,-1570,971,919,-52,3044,2713,-331,21653,19604,-2049
Dentro Localidade,7018,6491,-527,272,233,-39,1059,938,-121,8773,8181,-592
Fora Localidade,9710,8667,-1043,699,686,-13,1985,1775,-210,12880,11423,-1457
Estrada Municipal,7333,5961,-1372,274,221,-53,1080,894,-186,8728,7150,-1578
,,,,,,,,,,,,
Dentro Localidade,4223,2828,-1395,106,67,-39,595,357,-238,4890,3316,-1574
Fora Localidade,3110,3133,23,168,154,-14,485,537,52,3838,3834,-4
Arruamentos,21289,20114,-1175,368,315,-53,3066,2797,-269,23668,22344,-1324
,,,,,,,,,,,,
Outras (1),900,1008,108,29,62,33,138,149,11,1134,1281,147
,,,,,,,,,,,,
Dentro Localidade,598,609,11,13,19,6,84,71,-13,760,771,11
Fora Localidade,302,399,97,16,43,27,54,78,24,374,510,136
Total da rede,47966,44159,-3807,1750,1629,-121,7697,6918,-779,57630,53006,-4624
,,,,,,,,,,,,
Dentro Localidade,33128,30042,-3086,759,634,-125,4804,4163,-641,38091,34612,-3479
Fora Localidade,14838,14117,-721,991,995,4,2893,2755,-138,19539,18394,-1145
