,,Grupos etários,,,,,,,,,,,,
,,<=14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,>=65,Total(1)
Velocidade,1999,127,1516,4934,4087,2986,2530,2176,1714,1342,946,763,1018,25053
Excessiva,2000,70,1414,3845,3189,2430,2054,1768,1426,1091,780,631,851,20153
,00/99,-57,-102,-1089,-898,-556,-476,-408,-288,-251,-166,-132,-167,-4900
Desrespeito de,1999,133,1020,2391,1890,1538,1252,1054,854,736,636,508,915,13308
cedência de,2000,96,822,1850,1427,1133,1029,817,732,631,484,433,715,10414
passagem,00/99,-37,-198,-541,-463,-405,-223,-237,-122,-105,-152,-75,-200,-2894
Desrespeito stop,1999,56,345,1073,909,705,565,494,428,421,335,256,468,6214
ou sinal vermelho,2000,28,311,857,672,593,496,444,369,327,259,190,357,5037
,00/99,-28,-34,-216,-237,-112,-69,-50,-59,-94,-76,-66,-111,-1177
Ultrapassagem,1999,18,411,903,713,522,437,367,305,254,148,160,285,4667
irregular,2000,13,333,715,544,398,332,338,252,200,159,127,230,3749
,00/99,-5,-78,-188,-169,-124,-105,-29,-53,-54,11,-33,-55,-918
Distracção ou,1999,59,306,936,823,656,608,547,435,361,271,227,430,5860
Sonolência,2000,46,296,774,682,596,543,446,386,314,249,188,331,5010
,00/99,-13,-10,-162,-141,-60,-65,-101,-49,-47,-22,-39,-99,-850
Desvio brusco ou,1999,61,254,845,733,560,515,410,331,299,196,158,233,4748
saída fila trânsito,2000,28,232,648,563,410,367,298,285,215,150,147,181,3665
,00/99,-33,-22,-197,-170,-150,-148,-112,-46,-84,-46,-11,-52,-1083
,1999,97,835,2294,2038,1548,1348,1170,942,800,593,444,729,13572
Não identificada,2000,105,1077,2762,2336,1823,1647,1403,1104,982,726,515,840,16019
,00/99,8,242,468,298,275,299,233,162,182,133,71,111,2447
,1999,0,0,0,1,0,0,1,0,0,0,0,0,6
Não definida,2000,19,293,750,621,434,389,322,285,191,147,139,184,4003
,00/99,19,293,750,620,434,389,321,285,191,147,139,184,3997
,1999,53,463,1161,1025,762,674,625,561,433,282,244,452,7000
Outras,2000,42,391,973,793,648,592,481,458,357,223,212,355,5686
,00/99,-11,-72,-188,-232,-114,-82,-144,-103,-76,-59,-32,-97,-1314
,1999,604,5150,14537,12219,9277,7929,6844,5570,4646,3407,2760,4530,80428
Total,2000,447,5169,13174,10827,8465,7449,6317,5297,4308,3177,2582,4044,73736
,00/99,-157,19,-1363,-1392,-812,-480,-527,-273,-338,-230,-178,-486,-6692
