,Mortos,,,F. Graves,,,F. Leves,,,Total,,
,,,,,,,,,,,,
,Cond.,Passag,Peões,Cond.,Passag,Peões,Cond.,Passag,Peões,Cond.,Passag,Peões
,,,,,,,,,,,,
REGIÃO CENTRO,273,122,100,1002,483,222,8640,4729,1228,9915,5334,1550
,,,,,,,,,,,,
Dentro Localidade,103,31,64,560,188,183,5840,2566,1135,6503,2785,1382
,,,,,,,,,,,,
Fora Localidade,170,91,36,442,295,39,2800,2163,93,3412,2549,168
,,,,,,,,,,,,
Aveiro,68,34,26,303,130,62,2858,1220,339,3229,1384,427
,,,,,,,,,,,,
Dentro Localidade,32,16,20,207,68,57,2272,884,314,2511,968,391
,,,,,,,,,,,,
Fora Localidade,36,18,6,96,62,5,586,336,25,718,416,36
,,,,,,,,,,,,
C. Branco,28,15,9,74,,15,429,369,81,531,384,105
,,,,,,,,,,,,
Dentro Localidade,5,0,4,27,3,11,153,95,70,185,98,85
,,,,,,,,,,,,
Fora Localidade,23,15,5,47,50,4,276,274,11,346,339,20
,,,,,,,,,,,,
Coimbra,53,16,13,129,64,32,1861,980,311,2043,1060,356
,,,,,,,,,,,,
Dentro Localidade,23,0,9,65,25,26,1268,534,292,1356,559,327
,,,,,,,,,,,,
Fora Localidade,30,16,4,64,39,6,593,446,19,687,501,29
,,,,,,,,,,,,
Guarda,21,4,10,69,37,14,427,312,48,517,353,72
,,,,,,,,,,,,
Dentro Localidade,3,1,6,25,8,11,174,99,43,202,108,60
,,,,,,,,,,,,
Fora Localidade,18,3,4,44,29,3,253,213,5,315,245,12
,,,,,,,,,,,,
Leiria,66,33,28,319,142,81,2205,1229,294,2590,1404,403
,,,,,,,,,,,,
Dentro Localidade,27,8,12,188,61,64,1551,711,274,1766,780,350
,,,,,,,,,,,,
Fora Localidade,39,25,16,131,81,17,654,518,20,824,624,53
,,,,,,,,,,,,
Viseu,37,20,14,108,57,18,860,619,155,1005,696,187
,,,,,,,,,,,,
Dentro Localidade,13,6,13,48,23,14,422,243,142,483,272,169
,,,,,,,,,,,,
Fora Localidade,24,14,1,60,34,4,438,376,13,522,424,18
,,,,,,,,,,,,
