,,Veículos ligeiros,,,Veículos pesados,,,Motociclos,
,,Passageiros,Mercadorias,Total,Passageiros,Mercadorias,Total,.,
Até 1 ano,,259.051,148.029,407.080,926,7.288,8.214,21.289,
1 ano,,275.671,123.588,399.259,657,7.016,7.673,21.298,
2 anos,,253.866,117.039,370.905,715,5.783,6.498,16.886,
3 anos,,222.008,101.375,323.383,519,5.268,5.787,13.974,
4 anos,,230.026,83.398,313.424,414,4.430,4.844,9.953,
De 5 a 9 anos,,1.211.527,369.438,1.580.965,3.848,41.214,45.062,43.273,
De 10 a 14 anos,,656.870,160.903,817.773,2.840,36.844,39.684,12.227,
De 15 a 19 anos,,181.114,16.668,197.782,1.887,14.246,16.133,1.226,
>= 20 anos,,46.134,1.664,47.798,1.970,8.726,10.696,0,
,,3.336.267,1.122.102,4.458.369,13.776,130.815,144.591,140.126,
