,,,,,,,,,,,,
,Acidentes c/,,,,,,,,,,,
,,,,Vítimas mortais,,,Feridos graves,,,Feridos leves,,
,vítimas,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,1999,2000,00/99,1999,2000,00/99,1999,2000,00/99,1999,2000,00/99
,,,,,,,,,,,,
,,,,,,,,,,,,
Velocidade excessiva,15454,12057,-3397,764,555,-209,2777,2101,-676,19312,15046,-4266
,,,,,,,,,,,,
Desresp. cedência passagem,6700,5209,-1491,92,84,-8,795,616,-179,8059,6317,-1742
,,,,,,,,,,,,
Desresp. stop / sinal vermelho,3305,2455,-850,69,56,-13,482,330,-152,4038,3181,-857
,,,,,,,,,,,,
Ultrapassagem irregular,2290,1541,-749,93,68,-25,435,264,-171,2484,1989,-495
,,,,,,,,,,,,
Distracção/Sonolência,3799,3190,-609,84,30,-54,458,314,-144,3603,3037,-566
,,,,,,,,,,,,
Desvio brusco/saída fila trânsito,2598,1985,-613,124,100,-24,443,335,-108,3507,2792,-715
,,,,,,,,,,,,
Circulação em sentido oposto,466,393,-73,25,32,7,130,106,-24,625,530,-95
Não identificada,9613,10092,479,409,387,-22,1727,1545,-182,10159,11142,983
Não definida,552,4118,3566,15,185,170,74,748,674,481,4383,3902
Outra,3189,3119,-70,75,132,57,376,559,183,5362,4589,-773
,,,,,,,,,,,,
Total,47966,44159,-3807,1750,1629,-121,7697,6918,-779,57630,53006,-4624
,,,,,,,,,,,,
