Quadro 1.4 Sinistralidade em Portugal por fatores atmosféricos,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Fatores atmosféricos,AcV,,,,VM,,,,FG,,,,FL,,,
,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22
Bom tempo,29835,28438,30949,0.08829734861804628,593,539,573,0.06307977736549164,2031,2004,2221,0.10828343313373257,35778,33199,35960,0.08316515557697524
Chuva,7055,5587,5320,-0.047789511365670334,88,69,60,-0.13043478260869568,313,278,249,-0.10431654676258995,8682,6610,6489,-0.01830559757942507
Nevoeiro,234,164,215,0.3109756097560976,3,6,6,0,30,17,25,0.47058823529411775,302,206,296,0.4368932038834952
Vento,30,33,38,0.1515151515151516,1,0,2,-,3,2,2,0,29,36,44,0.22222222222222232
Neve,8,5,20,3,0,1,1,0,0,0,2,-,14,6,23,2.8333333333333335
Fumo,5,4,2,-0.5,2,2,0,-1,5,0,0,-,7,6,2,-0.6666666666666667
Granizo,31,4,11,1.75,1,0,0,-,1,0,1,-,55,8,14,0.75
n.d.,53,41,40,-0.024390243902439046,0,1,0,-1,0,1,0,-1,67,43,45,0.04651162790697683
Total,37251,34276,36595,0.0676566693896603,688,618,642,0.03883495145631066,2383,2302,2500,0.08601216333622941,44934,40114,42873,0.06877897990726423
n.d. - não definido,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
