,,,,,,,,,,,,,,,,,,,,,,,,,,
Quadro 3. Evolução da Sinistralidade no Continente,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Ano,AcV,AcVM+AcFG,AcVM,Vítimas totais,VM,FG,FL,IGR,,,,,,,,,,,,,,,,,,
2010,35426,2802,674,47302,741,2637,43924,2.0916840738440694,,,,,,,,,,,,,,,,,,
2011,32541,2641,636,42851,689,2436,39726,2.1173289081466455,,,,,,,,,,,,,,,,,,
2012,29867,2264,525,38823,573,2060,36190,1.9185053738239528,,,,,,,,,,,,,,,,,,
2013,30339,2191,469,39390,518,2054,36818,1.7073733478361184,,,,,,,,,,,,,,,,,,
2014,30604,2317,454,39653,482,2152,37019,1.5749575218925629,,,,,,,,,,,,,,,,,,
2015,31953,2358,438,41549,473,2250,38826,1.480299189434482,,,,,,,,,,,,,,,,,,
2016,32299,2201,416,41668,445,2102,39121,1.3777516331774977,,,,,,,,,,,,,,,,,,
2017,34416,2397,488,44495,510,2198,41787,1.48186889818689,,,,,,,,,,,,,,,,,,
2018,34235,2337,468,44005,508,2141,41356,1.4838615452022783,,,,,,,,,,,,,,,,,,
2019,35704,2403,429,45977,474,2301,43202,1.3275823437149898,,,,,,,,,,,,,,,,,,
2020,26501,1975,372,32925,390,1829,30706,1.471642579525301,,,,,,,,,,,,,,,,,,
2021,29217,2221,367,36713,390,2106,34217,1.334839305883561,,,,,,,,,,,,,,,,,,
2022,32788,2352,428,41161,462,2243,38456,1.409052092228864,,,,,,,,,,,,,,,,,,
2023,34974,2569,431,43962,467,2437,41058,1.3352776348144337,,,,,,,,,,,,,,,,,,
Média 2010-2019,32738.4,2391.1,499.7,42571.3,541.3,2233.1,39796.9,1.6561212835259487,,,,,,,,,,,,,,,,,,
∆(%) 23/média 10-19,0.06828678249395193,0.07440090334992266,-0.13748248949369624,0.032667548324810225,-0.13726214668390901,0.09130804710939944,0.031688397840032634,-0.19373197597486702,,,,,,,,,,,,,,,,,,
∆(%) 23/19,-0.02044588841586381,0.0690803162713276,0.004662004662004726,-0.04382626095656528,-0.014767932489451518,0.05910473707083885,-0.04962733206795977,0.005796469903260437,,,,,,,,,,,,,,,,,,
∆(%) 23/22,0.06667073319507133,0.09226190476190466,0.007009345794392496,0.06804985301620459,0.010822510822510845,0.08649130628622381,0.0676617432910338,-0.052357508868059344,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
