,,"Acidentes
c/ vítimas",,"Vítimas
mortais",,"Feridos
graves",,"Feridos
leves",,"Total de
vítimas",,"Índice de
gravidade",
,,2012,2013,2012,2013,2012,2013,2012,2013,2012,2013,2012,2013
,,,,,,,,,,,,,
Atropelamento,Atropelamento de peões,4487,4775,148,135,370,410,4393,4598,4911,5143,"3,3","2,8"
,Atropelamento de animais,55,68,0,0,0,3,66,73,66,76,"0,0","0,0"
,Atropelamento com fuga,311,306,9,6,20,17,298,296,327,319,"2,9","2,0"
,Total,4853,5149,157,141,390,430,4757,4967,5304,5538,"3,2","2,7"
Colisão,Colisão com fuga,321,371,3,3,12,15,365,398,380,416,"0,9","0,8"
,Colisão com outras situações,2065,1931,23,17,68,85,2598,2480,2689,2582,"1,1","0,9"
,Colisão frontal,2638,2598,107,121,311,339,4085,3956,4503,4416,"4,1","4,7"
,"Colisão traseira com outro
veículo em movimento",2908,3129,32,36,73,102,3695,4124,3800,4262,"1,1","1,2"
,"Colisão lateral com outro veículo
em movimento",5641,5646,68,57,286,266,7161,7205,7515,7528,"1,2","1,0"
,"Colisão com veiculo ou obstáculo
na faixa de rodagem",1030,1081,16,17,34,38,1310,1349,1360,1404,"1,6","1,6"
,Colisão choque em cadeia,519,613,2,5,6,11,800,957,808,973,"0,4","0,8"
,Total,15122,15369,251,256,790,856,20014,20469,21055,21581,"1,7","1,7"
Despiste,"Despiste com dispositivo de
retenção",905,905,18,12,50,38,1054,1047,1122,1097,"2,0","1,3"
,"Despiste sem dispositivo de
retenção",1264,1265,26,19,63,58,1359,1355,1448,1432,"2,1","1,5"
,Despiste com fuga,50,41,1,0,4,2,51,54,56,56,"2,0","0,0"
,Despiste simples,3832,4203,122,81,244,256,4285,4700,4651,5037,"3,2","1,9"
,"Despiste com transposição do
dispositivo de retenção lateral",257,215,13,26,33,29,312,301,358,356,"5,1","12,1"
,Despiste com capotamento,2236,2017,87,62,225,170,2791,2567,3103,2799,"3,9","3,1"
,"Despiste com colisão com
veículo imobil. ou obstáculo",1348,1175,43,40,142,107,1541,1347,1726,1494,"3,2","3,4"
,Total,9892,9821,310,240,761,660,11393,11371,12464,12271,"3,1","2,4"
TOTAL,,29867,30339,718,637,1941,1946,36164,36807,38823,39390,"2,4","2,1"
