,"Vítimas
mortais",,"Feridos
graves",,"Feridos
leves",,"Total de
vítimas",
,2012,2013,2012,2013,2012,2013,2012,2013
,,,,,,,,
Jan,7,16,20,36,747,691,774,743
Fev,9,4,28,22,619,576,656,602
Mar,6,5,22,28,767,770,795,803
Abr,12,3,34,17,771,608,817,628
Mai,5,4,37,27,718,844,760,875
Jun,14,10,37,33,697,752,748,795
Jul,10,5,49,38,891,942,950,985
Ago,17,18,46,50,1037,1035,1100,1103
Set,10,7,36,43,837,865,883,915
Out,11,10,29,26,749,756,789,792
Nov,7,8,22,36,813,731,842,775
Dez,9,16,32,44,878,955,919,1015
TOTAL,117,106,392,400,9524,9525,10033,10031
