,,"Vítimas
mortais",,"Feridos
graves",,"Feridos
leves",,"Total de
vítimas",
,,2012,2013,2012,2013,2012,2013,2012,2013
,,,,,,,,,
"Dentro das
localidades",2ª feira,11,15,51,45,763,815,825,875
,3ª feira,14,20,53,60,699,736,766,816
,4ª feira,17,10,52,63,712,718,781,791
,5ª feira,22,27,57,65,789,779,868,871
,6ª feira,25,14,54,79,782,822,861,915
,Sábado,18,16,55,55,483,546,556,617
,Domingo,14,11,41,38,372,402,427,451
,TOTAL,121,113,363,405,4600,4818,5084,5336
"Fora das
localidades",2ª feira,10,3,8,6,21,12,39,21
,3ª feira,6,7,6,4,13,17,25,28
,4ª feira,7,2,5,3,14,21,26,26
,5ª feira,2,1,6,2,13,18,21,21
,6ª feira,1,5,3,2,13,19,17,26
,Sábado,7,7,3,3,7,14,17,24
,Domingo,5,6,3,6,8,5,16,17
,TOTAL,38,31,34,26,89,106,161,163
