,,"Acidentes
c/ vítimas",,"Vítimas
mortais",,"Feridos
graves",,"Feridos
leves",,"Total de
vítimas",
,,2012,2013,2012,2013,2012,2013,2012,2013,2012,2013
,,,,,,,,,,,
REGIÃO NORTE,Braga,2669,2706,64,52,154,148,3420,3362,3638,3562
,Bragança,353,358,11,8,51,53,415,437,477,498
,Porto,4905,5075,96,80,180,182,5999,6332,6275,6594
,Viana do Castelo,708,719,16,15,41,45,906,888,963,948
,Vila Real,523,543,19,14,51,41,665,699,735,754
,Total,9158,9401,206,169,477,469,11405,11718,12088,12356
REGIÃO CENTRO,Aveiro,2282,2470,53,52,110,132,2673,2957,2836,3141
,Castelo Branco,522,498,20,24,98,91,595,583,713,698
,Coimbra,1452,1441,37,29,80,56,1742,1828,1859,1913
,Guarda,404,404,11,14,51,51,491,480,553,545
,Leiria,1775,1644,55,41,142,151,2179,1902,2376,2094
,Viseu,1260,1206,32,26,83,71,1568,1534,1683,1631
,Total,7695,7663,208,186,564,552,9248,9284,10020,10022
"REGIÃO DE
LISBOA E VALE
TEJO",Lisboa,6602,6847,85,89,288,333,7811,8094,8184,8516
,Santarém,1500,1463,56,44,154,147,1829,1814,2039,2005
,Setúbal,2098,2145,57,46,147,122,2568,2647,2772,2815
,Total,10200,10455,198,179,589,602,12208,12555,12995,13336
"REGIÃO DO
ALENTEJO",Beja,392,420,30,33,59,63,483,478,572,574
,Évora,453,434,15,24,53,67,548,558,616,649
,Portalegre,259,302,11,21,42,50,306,320,359,391
,Total,1104,1156,56,78,154,180,1337,1356,1547,1614
"REGIÃO DO
ALGARVE",Faro,1710,1664,50,25,157,143,1966,1894,2173,2062
,Total,1710,1664,50,25,157,143,1966,1894,2173,2062
TOTAL,,29867,30339,718,637,1941,1946,36164,36807,38823,39390
