,,"Vítimas
mortais",,"Feridos
graves",,"Feridos
leves",,"Total de
vítimas",
,,2012,2013,2012,2013,2012,2013,2012,2013
,,,,,,,,,
"Dentro das
localidades",Jan,13,19,32,43,421,459,466,521
,Fev,11,9,33,31,362,331,406,371
,Mar,10,7,18,25,372,363,400,395
,Abr,7,5,15,27,269,355,291,387
,Mai,13,11,32,40,336,385,381,436
,Jun,13,7,35,23,340,315,388,345
,Jul,11,3,24,25,401,350,436,378
,Ago,6,10,24,31,334,349,364,390
,Set,7,9,32,36,348,407,387,452
,Out,9,13,43,32,397,468,449,513
,Nov,8,9,35,37,484,514,527,560
,Dez,13,11,40,55,536,522,589,588
,TOTAL,121,113,363,405,4600,4818,5084,5336
"Fora das
localidades",Jan,3,5,5,0,10,9,18,14
,Fev,1,4,4,3,8,5,13,12
,Mar,3,4,4,2,9,10,16,16
,Abr,2,1,2,0,4,8,8,9
,Mai,1,2,3,0,5,11,9,13
,Jun,3,1,1,0,5,7,9,8
,Jul,4,1,1,2,8,6,13,9
,Ago,1,3,2,1,7,10,10,14
,Set,5,3,1,2,7,10,13,15
,Out,8,1,3,4,11,12,22,17
,Nov,4,4,7,6,5,12,16,22
,Dez,3,2,1,6,10,6,14,14
,TOTAL,38,31,34,26,89,106,161,163
