,"Vítimas
mortais",,"Feridos
graves",,"Feridos
leves",,"Total de
vítimas",
,2012,2013,2012,2013,2012,2013,2012,2013
,,,,,,,,
Atravessando a via,11,7,13,12,198,196,222,215
Circulação em sentido oposto ao estabelecido,9,8,24,26,108,118,141,152
Desvio brusco/ saída de fila de trânsito,26,14,51,37,516,451,593,502
Em marcha normal,340,316,901,888,17613,17934,18854,19138
Início de marcha,6,6,25,14,376,377,407,397
Inversão do sentido de marcha,1,2,7,6,88,68,96,76
Marcha atrás,0,1,2,1,61,55,63,57
Mudança de direcção para a direita,1,0,9,5,238,250,248,255
Mudança de direcção para a esquerda,6,9,36,40,1007,1024,1049,1073
Mudança de via de trânsito para a direita,0,0,4,3,54,65,58,68
Mudança de via de trânsito para a esquerda,7,0,2,8,102,122,111,130
N.D.,6,8,21,11,278,291,305,310
Parado ou estacionado,8,2,9,11,554,598,571,611
Saída de parqueamento ou de rua particular,7,1,2,11,107,115,116,127
Trânsito em filas paralelas,0,0,1,1,12,18,13,19
Travagem brusca,1,1,5,8,151,148,157,157
Ultrapassagem pela direita,1,0,1,2,38,37,40,39
Ultrapassagem pela esquerda,12,12,39,31,450,491,501,534
TOTAL,442,387,1152,1115,21951,22358,23545,23860
