,,"Vítimas
mortais",,"Feridos
graves",,"Feridos
leves",,"Total de
vítimas",
,,2012,2013,2012,2013,2012,2013,2012,2013
,,,,,,,,,
"Dentro das
localidades",Arruamento,81,82,309,339,4247,4458,4637,4879
,Estrada Municipal,34,28,47,51,271,276,352,355
,Estrada Nacional,0,0,1,1,6,1,7,2
,IP/IC,4,1,5,5,37,28,46,34
,Outra Via *,2,2,1,9,39,55,42,66
,TOTAL,121,113,363,405,4600,4818,5084,5336
"Fora das
localidades",Autoestrada,10,6,4,2,5,10,19,18
,Estrada Municipal,14,14,17,14,47,62,78,90
,Estrada Nacional,7,4,5,2,10,5,22,11
,IP/IC,5,4,7,5,18,25,30,34
,Outra Via *,2,3,1,3,9,4,12,10
,TOTAL,38,31,34,26,89,106,161,163
