,,"Acidentes
c/ vítimas",,"Vítimas
mortais",,"Feridos
graves",,"Feridos
leves",,"Total de
vítimas",,"Índice de
gravidade",
,,2012,2013,2012,2013,2012,2013,2012,2013,2012,2013,2012,2013
,,,,,,,,,,,,,
GNR,Jan,1493,1379,43,61,104,97,1816,1697,1963,1855,"2,9","4,4"
,Fev,1345,1123,51,29,104,74,1597,1379,1752,1482,"3,8","2,6"
,Mar,1411,1403,44,37,117,69,1701,1778,1862,1884,"3,1","2,6"
,Abr,1397,1292,42,20,114,75,1718,1585,1874,1680,"3,0","1,5"
,Mai,1464,1531,50,42,121,102,1767,1947,1938,2091,"3,4","2,7"
,Jun,1538,1487,62,46,113,120,1872,1844,2047,2010,"4,0","3,1"
,Jul,1705,1723,62,31,143,143,2163,2182,2368,2356,"3,6","1,8"
,Ago,1797,1783,52,64,159,152,2361,2312,2572,2528,"2,9","3,6"
,Set,1477,1787,51,42,113,140,1865,2194,2029,2376,"3,5","2,4"
,Out,1660,1504,50,53,111,108,2013,1874,2174,2035,"3,0","3,5"
,Nov,1458,1520,39,37,90,128,1829,1844,1958,2009,"2,7","2,4"
,Dez,1543,1739,42,50,126,144,1937,2233,2105,2427,"2,7","2,9"
,Total,18288,18271,588,512,1415,1352,22639,22869,24642,24733,"3,2","2,8"
PSP,Jan,953,989,14,10,43,49,1101,1138,1158,1197,"1,5","1,0"
,Fev,892,822,9,6,43,40,1030,955,1082,1001,"1,0","0,7"
,Mar,965,969,8,10,39,39,1157,1140,1204,1189,"0,8","1,0"
,Abr,825,916,11,11,23,37,996,1052,1030,1100,"1,3","1,2"
,Mai,957,995,16,5,51,50,1110,1166,1177,1221,"1,7","0,5"
,Jun,907,962,10,7,57,48,1010,1100,1077,1155,"1,1","0,7"
,Jul,1006,1047,9,17,42,52,1189,1222,1240,1291,"0,9","1,6"
,Ago,878,906,6,9,49,54,1051,1076,1106,1139,"0,7","1,0"
,Set,995,1128,12,10,40,52,1184,1326,1236,1388,"1,2","0,9"
,Out,1031,1109,11,16,53,39,1173,1259,1237,1314,"1,1","1,4"
,Nov,1087,1074,9,12,45,62,1265,1207,1319,1281,"0,8","1,1"
,Dez,1083,1151,15,12,41,72,1259,1297,1315,1381,"1,4","1,0"
,Total,11579,12068,130,125,526,594,13525,13938,14181,14657,"1,1","1,0"
TOTAL,,29867,30339,718,637,1941,1946,36164,36807,38823,39390,"2,4","2,1"
