,,"Acidentes
c/ vítimas",,"Vítimas
mortais",,"Feridos
graves",,"Feridos
leves",,"Total de
vítimas",,"Índice de
gravidade",
,,2012,2013,2012,2013,2012,2013,2012,2013,2012,2013,2012,2013
,,,,,,,,,,,,,
Arruamento,Dentro das localidades,17865,18061,257,212,880,903,20729,20867,21866,21982,"1,4","1,2"
,Total,17865,18061,257,212,880,903,20729,20867,21866,21982,"1,4","1,2"
Autoestrada,Fora das localidades,1747,1824,58,44,115,105,2392,2604,2565,2753,"3,3","2,4"
,Total,1747,1824,58,44,115,105,2392,2604,2565,2753,"3,3","2,4"
Estrada Municipal,Dentro das localidades,596,540,21,21,75,41,684,657,780,719,"3,5","3,9"
,Fora das localidades,1192,1164,60,33,140,94,1439,1457,1639,1584,"5,0","2,8"
,Total,1788,1704,81,54,215,135,2123,2114,2419,2303,"4,5","3,2"
Estrada Nacional,Dentro das localidades,3642,3661,105,112,257,265,4682,4635,5044,5012,"2,9","3,1"
,Fora das localidades,3077,3146,134,127,318,338,4006,4079,4458,4544,"4,4","4,0"
,Total,6719,6807,239,239,575,603,8688,8714,9502,9556,"3,6","3,5"
IP/IC,Dentro das localidades,288,263,3,0,15,13,379,340,397,353,"1,0","0,0"
,Fora das localidades,722,782,52,59,83,109,975,1127,1110,1295,"7,2","7,5"
,Total,1010,1045,55,59,98,122,1354,1467,1507,1648,"5,4","5,6"
Outra Via *,Dentro das localidades,384,421,11,7,24,22,455,486,490,515,"2,9","1,7"
,Fora das localidades,354,477,17,22,34,56,423,555,474,633,"4,8","4,6"
,Total,738,898,28,29,58,78,878,1041,964,1148,"3,8","3,2"
TOTAL,,29867,30339,718,637,1941,1946,36164,36807,38823,39390,"2,4","2,1"
