,"Vítimas
mortais",,"Feridos
graves",,"Feridos
leves",,"Total de
vítimas",
,2012,2013,2012,2013,2012,2013,2012,2013
,,,,,,,,
Jan,34,31,90,67,1739,1676,1863,1774
Fev,39,18,82,58,1638,1422,1759,1498
Mar,33,31,112,53,1710,1775,1855,1859
Abr,32,22,86,68,1670,1666,1788,1756
Mai,47,30,100,85,1818,1873,1965,1988
Jun,42,35,97,112,1840,1870,1979,2017
Jul,46,39,111,130,2052,2106,2209,2275
Ago,34,42,136,124,2034,1994,2204,2160
Set,41,33,84,111,1857,2238,1982,2382
Out,33,45,89,85,2029,1897,2151,2027
Nov,29,28,71,111,1792,1794,1892,1933
Dez,32,33,94,111,1772,2047,1898,2191
TOTAL,442,387,1152,1115,21951,22358,23545,23860
