,,"Vítimas
mortais",,"Feridos
graves",,"Feridos
leves",,"Total de
vítimas",
,,2012,2013,2012,2013,2012,2013,2012,2013
,,,,,,,,,
TOTAL,A sair ou entrar num veículo,2,3,7,13,77,101,86,117
,Atravessando em passagem sinalizada,22,26,102,133,1896,2040,2020,2199
,"Atravessando em passagem sinalizada com desrespeito da
sinalização semafórica",3,0,12,5,107,100,122,105
,"Atravessando fora da passagem de peões a mais de 50m
de uma passagem ou quando não exista passagem",24,20,46,46,383,422,453,488
,"Atravessando fora da passagem de peões, a menos de
50m de uma passagem",23,8,60,56,526,554,609,618
,Em ilhéu ou refúgio na via,1,2,3,8,67,64,71,74
,Em plena faixa de rodagem,39,44,57,59,512,568,608,671
,Em trabalhos na via,1,2,2,1,25,36,28,39
,N.D.,3,4,12,9,83,90,98,103
,"Surgindo inesperadamente na faixa de rodagem de trás de
um obstáculo",14,10,25,35,342,305,381,350
,Transitando pela berma ou passeio,15,17,52,45,455,383,522,445
,Transitando pela direita da faixa de rodagem,8,5,9,11,144,169,161,185
,Transitando pela esquerda da faixa de rodagem,4,3,10,10,72,92,86,105
,TOTAL,159,144,397,431,4689,4924,5245,5499
