,TOTAL DE VÍTIMAS,,,,,,,
,Feminino,,Masculino,,N.D.,,TOTAL,
,2012,2013,2012,2013,2012,2013,2012,2013
,,,,,,,,
<=5,70,55,115,103,0,0,185,158
6-9,81,82,114,139,0,0,195,221
10-14,214,191,205,208,0,0,419,399
15-19,253,266,154,177,0,0,407,443
20-24,153,169,113,126,0,0,266,295
25-29,115,127,76,91,0,0,191,218
30-34,92,127,108,95,0,0,200,222
35-39,124,107,102,133,0,0,226,240
40-44,139,157,123,133,0,0,262,290
45-49,180,170,144,125,0,0,324,295
50-54,190,217,150,135,0,0,340,352
55-59,191,189,143,146,0,0,334,335
60-64,236,243,144,148,0,1,380,392
65-69,194,193,132,139,0,0,326,332
70-74,191,213,166,174,0,0,357,387
>=75,461,502,363,412,0,0,824,914
N.D.,2,2,7,4,0,0,9,6
TOTAL,2886,3010,2359,2488,0,1,5245,5499
