,,"Vítimas
mortais",,"Feridos
graves",,"Feridos
leves",,"Total de
vítimas",
,,2012,2013,2012,2013,2012,2013,2012,2013
,,,,,,,,,
TOTAL,Jan,16,24,37,43,431,468,484,535
,Fev,12,13,37,34,370,336,419,383
,Mar,13,11,22,27,381,373,416,411
,Abr,9,6,17,27,273,363,299,396
,Mai,14,13,35,40,341,396,390,449
,Jun,16,8,36,23,345,322,397,353
,Jul,15,4,25,27,409,356,449,387
,Ago,7,13,26,32,341,359,374,404
,Set,12,12,33,38,355,417,400,467
,Out,17,14,46,36,408,480,471,530
,Nov,12,13,42,43,489,526,543,582
,Dez,16,13,41,61,546,528,603,602
,TOTAL,159,144,397,431,4689,4924,5245,5499
