6. Peões vítimas segundo a localização e o período horário,,,,,,,,,
,,"Vítimas
mortais",,"Feridos
graves",,"Feridos
leves",,"Total de
vítimas",
,,2012,2013,2012,2013,2012,2013,2012,2013
,,,,,,,,,
"Dentro das
localidades",00-03,6,3,8,8,86,78,100,89
,03-06,3,4,10,5,47,47,60,56
,06-09,17,16,24,39,461,455,502,510
,09-12,19,17,61,64,853,961,933,1042
,12-15,13,13,51,53,710,759,774,825
,15-18,20,20,80,85,985,1042,1085,1147
,18-21,16,27,98,118,1174,1196,1288,1341
,21-24,27,13,31,33,284,280,342,326
,TOTAL,121,113,363,405,4600,4818,5084,5336
"Fora das
localidades",00-03,5,5,1,2,2,2,8,9
,03-06,3,4,1,2,2,2,6,8
,06-09,4,2,4,2,14,14,22,18
,09-12,6,4,2,3,12,30,20,37
,12-15,2,3,6,3,12,12,20,18
,15-18,5,3,5,4,11,14,21,21
,18-21,6,5,11,7,25,24,42,36
,21-24,7,5,4,3,11,8,22,16
,TOTAL,38,31,34,26,89,106,161,163
