,"Vítimas
mortais",,"Feridos
graves",,"Feridos
leves",,"Total de
vítimas",
,2012,2013,2012,2013,2012,2013,2012,2013
,,,,,,,,
Abertura de porta,0,0,0,0,13,11,13,11
Ausência de luzes quando obrigatórias,0,1,4,0,9,9,13,10
Circulação afastada da berma ou passeio,1,2,2,4,43,40,46,46
Desrespeito da sinalização semafórica,1,1,2,4,85,98,88,103
Desrespeito da sinalização vertical,11,9,27,17,523,458,561,484
Desrespeito das distâncias de segurança,2,0,7,2,285,315,294,317
Desrespeito das marcas rodoviárias,5,3,9,5,71,77,85,85
Encandeamento,1,1,5,4,139,113,145,118
Falha mecânica do veiculo,1,0,1,4,99,67,101,71
Manobra irregular,20,14,28,41,516,450,564,505
N.D.,2,2,14,12,434,321,450,335
Não identificada,343,323,927,909,17348,18245,18618,19477
Não sinalização da manobra,0,0,1,1,24,30,25,31
Obstáculo imprevisto na faixa de rodagem,1,5,9,10,312,368,322,383
Queda de carga ou objecto,0,0,0,1,12,9,12,10
Rebentamento de pneumático,0,0,1,4,73,75,74,79
Velocidade excessiva para as condições existentes,54,26,115,97,1965,1672,2134,1795
TOTAL,442,387,1152,1115,21951,22358,23545,23860
