,,"Vítimas
mortais",,"Feridos
graves",,"Feridos
leves",,"Total de
vítimas",
,,2013,2014,2013,2014,2013,2014,2013,2014
,,,,,,,,,
"Dentro das
localidades",Arruamento,44,39,374,336,4461,4189,4879,4564
,Estrada Municipal,23,25,56,77,276,386,355,488
,Estrada Nacional,0,1,1,1,1,7,2,9
,IP/IC,1,2,5,7,28,34,34,43
,Outra Via *,2,0,9,6,55,69,66,75
,TOTAL,70,67,445,427,4821,4685,5336,5179
"Fora das
localidades",Auto-Estrada,5,6,3,5,10,15,18,26
,Estrada Municipal,12,10,16,21,62,64,90,95
,Estrada Nacional,4,5,2,1,5,8,11,14
,IP/IC,3,0,6,4,25,14,34,18
,Outra Via *,3,3,3,3,4,16,10,22
,TOTAL,27,24,30,34,106,117,163,175
