,,"Vítimas
mortais",,"Feridos
graves",,"Feridos
leves",,"Total de
vítimas",
,,2013,2014,2013,2014,2013,2014,2013,2014
,,,,,,,,,
"Dentro das
localidades",2ª feira,9,6,51,69,815,712,875,787
,3ª feira,14,8,66,58,736,758,816,824
,4ª feira,4,9,67,57,720,727,791,793
,5ª feira,14,17,77,85,780,777,871,879
,6ª feira,10,10,83,68,822,801,915,879
,Sábado,13,10,58,53,546,545,617,608
,Domingo,6,7,43,37,402,365,451,409
,TOTAL,70,67,445,427,4821,4685,5336,5179
"Fora das
localidades",2ª feira,3,10,6,5,12,15,21,30
,3ª feira,5,3,6,5,17,17,28,25
,4ª feira,2,0,3,5,21,18,26,23
,5ª feira,1,2,2,5,18,18,21,25
,6ª feira,5,4,2,5,19,20,26,29
,Sábado,6,3,4,5,14,14,24,22
,Domingo,5,2,7,4,5,15,17,21
,TOTAL,27,24,30,34,106,117,163,175
