,,"Acidentes
c/ vítimas",,"Vítimas
mortais",,"Feridos
graves",,"Feridos
leves",,"Total de
vítimas",,"Índice de
gravidade",
,,2013,2014,2013,2014,2013,2014,2013,2014,2013,2014,2013,2014
,,,,,,,,,,,,,
Arruamento,Dentro das localidades,18061,17590,144,135,964,933,20874,20390,21982,21458,"0,8","0,8"
,Total,18061,17590,144,135,964,933,20874,20390,21982,21458,"0,8","0,8"
Auto-Estrada,Fora das localidades,1824,1879,42,46,107,118,2604,2646,2753,2810,"2,3","2,4"
,Total,1824,1879,42,46,107,118,2604,2646,2753,2810,"2,3","2,4"
Estrada Municipal,Dentro das localidades,540,552,16,12,46,52,657,677,719,741,"3,0","2,2"
,Fora das localidades,1164,1036,28,31,98,133,1458,1266,1584,1430,"2,4","3,0"
,Total,1704,1588,44,43,144,185,2115,1943,2303,2171,"2,6","2,7"
Estrada Nacional,Dentro das localidades,3661,4338,93,75,283,313,4636,5523,5012,5911,"2,5","1,7"
,Fora das localidades,3146,3031,113,111,351,397,4080,3860,4544,4368,"3,6","3,7"
,Total,6807,7369,206,186,634,710,8716,9383,9556,10279,"3,0","2,5"
IP/IC,Dentro das localidades,263,293,0,4,13,18,340,371,353,393,"0,0","1,4"
,Fora das localidades,782,789,57,44,110,83,1128,1030,1295,1157,"7,3","5,6"
,Total,1045,1082,57,48,123,101,1468,1401,1648,1550,"5,5","4,4"
Outra Via *,Dentro das localidades,421,451,6,7,23,27,486,515,515,549,"1,4","1,6"
,Fora das localidades,477,645,19,17,59,78,555,741,633,836,"4,0","2,6"
,Total,898,1096,25,24,82,105,1041,1256,1148,1385,"2,8","2,2"
TOTAL,,30339,30604,518,482,2054,2152,36818,37019,39390,39653,"1,7","1,6"
