,,"Vítimas
mortais",,"Feridos
graves",,"Feridos
leves",,"Total de
vítimas",
,,2013,2014,2013,2014,2013,2014,2013,2014
,,,,,,,,,
TOTAL,Jan,13,9,53,43,469,452,535,504
,Fev,9,7,38,47,336,403,383,457
,Mar,8,11,28,36,375,376,411,423
,Abr,6,6,27,18,363,333,396,357
,Mai,9,6,44,37,396,382,449,425
,Jun,7,6,24,26,322,330,353,362
,Jul,3,5,28,30,356,361,387,396
,Ago,6,5,39,34,359,342,404,381
,Set,10,6,40,32,417,410,467,448
,Out,9,8,41,49,480,423,530,480
,Nov,8,10,48,53,526,531,582,594
,Dez,9,12,65,56,528,459,602,527
,TOTAL,97,91,475,461,4927,4802,5499,5354
