,"Vítimas
mortais",,"Feridos
graves",,"Feridos
leves",,"Total de
vítimas",
,2013,2014,2013,2014,2013,2014,2013,2014
,,,,,,,,
Atravessando a via,6,4,13,12,196,180,215,196
Circulação em sentido oposto ao estabelecido,8,6,26,13,118,114,152,133
Desvio brusco/ saída de fila de trânsito,14,15,37,36,451,423,502,474
Em marcha normal,264,257,934,1072,17940,18621,19138,19950
Início de marcha,3,5,17,20,377,359,397,384
Inversão do sentido de marcha,1,3,7,5,68,77,76,85
Marcha atrás,0,1,2,2,55,39,57,42
Mudança de direcção para a direita,0,0,5,11,250,238,255,249
Mudança de direcção para a esquerda,7,7,42,39,1024,1008,1073,1054
Mudança de via de trânsito para a direita,0,0,3,0,65,62,68,62
Mudança de via de trânsito para a esquerda,0,0,8,7,122,94,130,101
N.D.,6,6,13,13,291,196,310,215
Parado ou estacionado,2,5,11,17,598,574,611,596
Saída de parqueamento ou de rua particular,1,1,11,4,115,94,127,99
Trânsito em filas paralelas,0,0,1,0,18,15,19,15
Travagem brusca,1,1,8,5,148,140,157,146
Ultrapassagem pela direita,0,0,2,0,37,31,39,31
Ultrapassagem pela esquerda,12,7,31,41,491,418,534,466
TOTAL,325,318,1171,1297,22364,22683,23860,24298
