,"Vítimas
mortais",,"Feridos
graves",,"Feridos
leves",,"Total de
vítimas",
,2013,2014,2013,2014,2013,2014,2013,2014
,,,,,,,,
Jan,28,23,70,71,1676,1634,1774,1728
Fev,16,22,60,82,1422,1540,1498,1644
Mar,29,20,54,77,1776,1767,1859,1864
Abr,17,17,73,112,1666,1673,1756,1802
Mai,22,23,92,121,1874,1888,1988,2032
Jun,29,21,118,91,1870,1916,2017,2028
Jul,32,35,136,141,2107,2064,2275,2240
Ago,35,33,131,164,1994,2083,2160,2280
Set,28,30,116,115,2238,2084,2382,2229
Out,34,29,94,112,1899,2110,2027,2251
Nov,26,32,112,106,1795,2056,1933,2194
Dez,29,33,115,105,2047,1868,2191,2006
TOTAL,325,318,1171,1297,22364,22683,23860,24298
