,,"Acidentes
c/ vítimas",,"Vítimas
mortais",,"Feridos
graves",,"Feridos
leves",,"Total de
vítimas",,"Índice de
gravidade",
,,2013,2014,2013,2014,2013,2014,2013,2014,2013,2014,2013,2014
,,,,,,,,,,,,,
Atropelamento,Atropelamento de peões,4775,4595,90,81,452,429,4601,4431,5143,4941,"1,9","1,8"
,Atropelamento de animais,68,96,0,0,3,6,73,98,76,104,"0,0","0,0"
,Atropelamento com fuga,306,352,5,3,18,19,296,337,319,359,"1,6","0,9"
,Total,5149,5043,95,84,473,454,4970,4866,5538,5404,"1,8","1,7"
Colisão,Colisão com fuga,371,359,2,2,16,20,398,388,416,410,"0,5","0,6"
,Colisão com outras situações,1931,1976,15,19,87,102,2480,2449,2582,2570,"0,8","1,0"
,Colisão frontal,2598,2504,106,80,352,309,3958,3927,4416,4316,"4,1","3,2"
,"Colisão traseira com outro
veículo em movimento",3129,3344,31,24,107,123,4124,4490,4262,4637,"1,0","0,7"
,"Colisão lateral com outro
veículo em movimento",5646,5533,43,55,278,280,7207,6921,7528,7256,"0,8","1,0"
,"Colisão com veiculo ou
obstáculo na faixa de rodagem",1081,963,15,11,40,53,1349,1253,1404,1317,"1,4","1,1"
,Colisão choque em cadeia,613,540,3,0,13,6,957,868,973,874,"0,5","0,0"
,Total,15369,15219,215,191,893,893,20473,20296,21581,21380,"1,4","1,3"
Despiste,"Despiste com dispositivo de
retenção",905,893,12,10,38,34,1047,1063,1097,1107,"1,3","1,1"
,"Despiste sem dispositivo de
retenção",1265,1339,12,11,64,55,1356,1460,1432,1526,"0,9","0,8"
,Despiste com fuga,41,45,0,1,2,7,54,52,56,60,"0,0","2,2"
,Despiste simples,4203,4608,70,78,266,324,4701,5119,5037,5521,"1,7","1,7"
,"Despiste com transposição do
dispositivo de retenção lateral",215,233,26,17,29,35,301,266,356,318,"12,1","7,3"
,Despiste com capotamento,2017,2096,53,61,178,203,2568,2642,2799,2906,"2,6","2,9"
,"Despiste com colisão com
veículo imobil. ou obstáculo",1175,1128,35,29,111,147,1348,1255,1494,1431,"3,0","2,6"
,Total,9821,10342,208,207,688,805,11375,11857,12271,12869,"2,1","2,0"
TOTAL,,30339,30604,518,482,2054,2152,36818,37019,39390,39653,"1,7","1,6"
