,"Vítimas
mortais",,"Feridos
graves",,"Feridos
leves",,"Total de
vítimas",
,2013,2014,2013,2014,2013,2014,2013,2014
,,,,,,,,
Abertura de porta,0,0,0,0,11,16,11,16
Ausência de luzes quando obrigatórias,0,0,1,1,9,6,10,7
Circulação afastada da berma ou passeio,2,1,4,5,40,23,46,29
Desrespeito da sinalização semafórica,0,1,5,6,98,70,103,77
Desrespeito da sinalização vertical,9,5,17,17,458,425,484,447
Desrespeito das distâncias de segurança,0,0,2,8,315,303,317,311
Desrespeito das marcas rodoviárias,2,1,6,10,77,55,85,66
Encandeamento,1,0,4,1,113,93,118,94
Falha mecânica do veiculo,0,2,4,7,67,59,71,68
Manobra irregular,13,6,42,29,450,448,505,483
N.D.,1,1,13,13,321,204,335,218
Não identificada,267,277,959,1077,18251,18885,19477,20239
Não sinalização da manobra,0,1,1,1,30,24,31,26
Obstáculo imprevisto na faixa de rodagem,5,0,10,14,368,337,383,351
Queda de carga ou objecto,0,0,1,0,9,9,10,9
Rebentamento de pneumático,0,0,4,4,75,67,79,71
Velocidade excessiva para as condições existentes,25,23,98,104,1672,1659,1795,1786
TOTAL,325,318,1171,1297,22364,22683,23860,24298
