,,"Vítimas
mortais",,"Feridos
graves",,"Feridos
leves",,"Total de
vítimas",
,,2013,2014,2013,2014,2013,2014,2013,2014
,,,,,,,,,
TOTAL,A sair ou entrar num veículo,2,3,14,8,101,120,117,131
,Atravessando em passagem sinalizada,13,13,144,158,2042,1999,2199,2170
,"Atravessando em passagem sinalizada com desrespeito
da sinalização semafórica",0,1,5,7,100,92,105,100
,"Atravessando fora da passagem de peões a mais de
50m de uma passagem ou quando não exista passagem",10,11,55,60,423,392,488,463
,"Atravessando fora da passagem de peões, a menos de
50m de uma passagem",2,15,62,65,554,587,618,667
,Em ilhéu ou refúgio na via,1,0,9,1,64,39,74,40
,Em plena faixa de rodagem,39,28,64,65,568,572,671,665
,Em trabalhos na via,2,0,1,1,36,34,39,35
,N.D.,2,1,11,8,90,63,103,72
,"Surgindo inesperadamente na faixa de rodagem de trás
de um obstáculo",6,3,39,22,305,265,350,290
,Transitando pela berma ou passeio,12,11,50,46,383,385,445,442
,Transitando pela direita da faixa de rodagem,5,3,11,11,169,187,185,201
,Transitando pela esquerda da faixa de rodagem,3,2,10,9,92,67,105,78
,TOTAL,97,91,475,461,4927,4802,5499,5354
