,,"Acidentes
c/ vítimas",,"Vítimas
mortais",,"Feridos
graves",,"Feridos
leves",,"Total de
vítimas",,"Índice de
gravidade",
,,2013,2014,2013,2014,2013,2014,2013,2014,2013,2014,2013,2014
,,,,,,,,,,,,,
GNR,Jan,1379,1338,51,33,107,87,1697,1627,1855,1747,"3,7","2,5"
,Fev,1123,1258,25,31,78,99,1379,1507,1482,1637,"2,2","2,5"
,Mar,1403,1342,35,30,70,103,1779,1670,1884,1803,"2,5","2,2"
,Abr,1292,1386,15,24,80,115,1585,1702,1680,1841,"1,2","1,7"
,Mai,1531,1478,30,30,113,140,1948,1772,2091,1942,"2,0","2,0"
,Jun,1487,1490,41,34,124,111,1845,1856,2010,2001,"2,8","2,3"
,Jul,1723,1718,28,40,146,157,2182,2157,2356,2354,"1,6","2,3"
,Ago,1783,1888,51,35,164,185,2313,2512,2528,2732,"2,9","1,9"
,Set,1787,1717,36,41,146,132,2194,2169,2376,2342,"2,0","2,4"
,Out,1504,1638,45,38,114,142,1876,2033,2035,2213,"3,0","2,3"
,Nov,1520,1701,35,35,129,127,1845,2096,2009,2258,"2,3","2,1"
,Dez,1739,1529,45,47,149,133,2233,1859,2427,2039,"2,6","3,1"
,Total,18271,18483,437,418,1420,1531,22876,22960,24733,24909,"2,4","2,3"
PSP,Jan,989,966,5,3,53,51,1139,1126,1197,1180,"0,5","0,3"
,Fev,822,911,4,3,42,55,955,1011,1001,1069,"0,5","0,3"
,Mar,969,1009,7,5,40,43,1142,1149,1189,1197,"0,7","0,5"
,Abr,916,851,10,5,38,43,1052,1016,1100,1064,"1,1","0,6"
,Mai,995,1032,5,7,50,57,1166,1200,1221,1264,"0,5","0,7"
,Jun,962,986,3,2,52,36,1100,1156,1155,1194,"0,3","0,2"
,Jul,1047,1030,12,5,56,58,1223,1206,1291,1269,"1,1","0,5"
,Ago,906,920,5,6,58,58,1076,1082,1139,1146,"0,6","0,7"
,Set,1128,1044,8,6,54,43,1326,1237,1388,1286,"0,7","0,6"
,Out,1109,1140,8,7,47,55,1259,1294,1314,1356,"0,7","0,6"
,Nov,1074,1192,7,9,67,57,1207,1381,1281,1447,"0,7","0,8"
,Dez,1151,1040,7,6,77,65,1297,1201,1381,1272,"0,6","0,6"
,Total,12068,12121,81,64,634,621,13942,14059,14657,14744,"0,7","0,5"
TOTAL,,30339,30604,518,482,2054,2152,36818,37019,39390,39653,"1,7","1,6"
