,,"Vítimas
mortais",,"Feridos
graves",,"Feridos
leves",,"Total de
vítimas",
,,2013,2014,2013,2014,2013,2014,2013,2014
,,,,,,,,,
"Dentro das
localidades",A sair ou entrar num veículo,1,2,13,8,95,114,109,124
,Atravessando em passagem sinalizada,13,13,143,156,2036,1992,2192,2161
,"Atravessando em passagem sinalizada com desrespeito
da sinalização semafórica",0,1,4,7,99,90,103,98
,"Atravessando fora da passagem de peões a mais de
50m de uma passagem ou quando não exista passagem",9,10,46,52,415,375,470,437
,"Atravessando fora da passagem de peões, a menos de
50m de uma passagem",2,14,61,64,552,583,615,661
,Em ilhéu ou refúgio na via,1,0,9,1,61,38,71,39
,Em plena faixa de rodagem,20,15,56,53,541,536,617,604
,Em trabalhos na via,1,0,0,1,28,29,29,30
,N.D.,2,1,11,7,90,61,103,69
,"Surgindo inesperadamente na faixa de rodagem de trás
de um obstáculo",5,0,35,21,297,258,337,279
,Transitando pela berma ou passeio,10,7,48,41,362,368,420,416
,Transitando pela direita da faixa de rodagem,4,2,10,8,158,176,172,186
,Transitando pela esquerda da faixa de rodagem,2,2,9,8,87,65,98,75
,TOTAL,70,67,445,427,4821,4685,5336,5179
"Fora das
localidades",A sair ou entrar num veículo,1,1,1,0,6,6,8,7
,Atravessando em passagem sinalizada,0,0,1,2,6,7,7,9
,"Atravessando em passagem sinalizada com desrespeito
da sinalização semafórica",0,0,1,0,1,2,2,2
,"Atravessando fora da passagem de peões a mais de
50m de uma passagem ou quando não exista passagem",1,1,9,8,8,17,18,26
,"Atravessando fora da passagem de peões, a menos de
50m de uma passagem",0,1,1,1,2,4,3,6
,Em ilhéu ou refúgio na via,0,0,0,0,3,1,3,1
,Em plena faixa de rodagem,19,13,8,12,27,36,54,61
,Em trabalhos na via,1,0,1,0,8,5,10,5
,N.D.,-,0,-,1,-,2,-,3
,"Surgindo inesperadamente na faixa de rodagem de trás
de um obstáculo",1,3,4,1,8,7,13,11
,Transitando pela berma ou passeio,2,4,2,5,21,17,25,26
,Transitando pela direita da faixa de rodagem,1,1,1,3,11,11,13,15
,Transitando pela esquerda da faixa de rodagem,1,0,1,1,5,2,7,3
,TOTAL,27,24,30,34,106,117,163,175
