,,"Vítimas
mortais",,"Feridos
graves",,"Feridos
leves",,"Total de
vítimas",
,,2013,2014,2013,2014,2013,2014,2013,2014
,,,,,,,,,
"Dentro das
localidades",Jan,8,4,53,41,460,444,521,489
,Fev,6,5,34,43,331,394,371,442
,Mar,4,7,26,33,365,364,395,404
,Abr,5,4,27,17,355,324,387,345
,Mai,8,5,43,36,385,376,436,417
,Jun,6,5,24,25,315,321,345,351
,Jul,2,4,26,28,350,351,378,383
,Ago,3,3,38,30,349,330,390,363
,Set,7,6,38,29,407,399,452,434
,Out,9,7,36,45,468,417,513,469
,Nov,5,10,41,48,514,521,560,579
,Dez,7,7,59,52,522,444,588,503
,TOTAL,70,67,445,427,4821,4685,5336,5179
"Fora das
localidades",Jan,5,5,0,2,9,8,14,15
,Fev,3,2,4,4,5,9,12,15
,Mar,4,4,2,3,10,12,16,19
,Abr,1,2,0,1,8,9,9,12
,Mai,1,1,1,1,11,6,13,8
,Jun,1,1,0,1,7,9,8,11
,Jul,1,1,2,2,6,10,9,13
,Ago,3,2,1,4,10,12,14,18
,Set,3,0,2,3,10,11,15,14
,Out,0,1,5,4,12,6,17,11
,Nov,3,0,7,5,12,10,22,15
,Dez,2,5,6,4,6,15,14,24
,TOTAL,27,24,30,34,106,117,163,175
