,"Vítimas
mortais",,"Feridos
graves",,"Feridos
leves",,"Total de
vítimas",
,2013,2014,2013,2014,2013,2014,2013,2014
,,,,,,,,
Jan,15,4,37,24,691,667,743,695
Fev,4,5,22,25,576,575,602,605
Mar,5,4,28,33,770,676,803,713
Abr,2,6,18,28,608,712,628,746
Mai,4,8,27,39,844,702,875,749
Jun,8,9,34,30,753,766,795,805
Jul,5,5,38,44,942,938,985,987
Ago,15,3,52,45,1036,1169,1103,1217
Set,6,11,44,28,865,912,915,951
Out,10,8,26,36,756,794,792,838
Nov,8,2,36,25,731,890,775,917
Dez,14,8,46,37,955,733,1015,778
TOTAL,96,73,408,394,9527,9534,10031,10001
