,,,,,,,,,,,,
,Acidentes c/,,Vítimas,,Feridos,,,,Total de,,Índice de,
,,,,,,,Feridos leves,,,,,
,vítimas,,mortais,,graves,,,,vítimas,,gravidade,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,2002,2003,2002,2003,2002,2003,2002,2003,2002,2003,2002,2003
,,,,,,,,,,,,
,,,,,,,,,,,,
00-03,2479,2379,140,133,407,386,3222,3078,3769,3597,"5,6","5,6"
,,,,,,,,,,,,
03-06,1527,1438,100,100,263,284,1912,1742,2275,2126,"6,5","7,0"
,,,,,,,,,,,,
06-09,4520,4322,196,160,518,464,5395,5311,6109,5935,"4,3","3,7"
09-12,5981,5885,140,144,529,523,7197,6947,7866,7614,"2,3","2,4"
,,,,,,,,,,,,
12-15,7199,7178,149,191,657,669,8699,8694,9505,9554,"2,1","2,7"
,,,,,,,,,,,,
15-18,8019,7963,223,214,854,809,10012,9827,11089,10850,"2,8","2,7"
18-21,8252,8186,318,272,973,937,9937,9748,11228,10957,"3,9","3,3"
,,,,,,,,,,,,
21-24,4242,4144,203,142,569,587,5441,5252,6213,5981,"4,8","3,4"
,,,,,,,,,,,,
Total,42219,41495,1469,1356,4770,4659,51815,50599,58054,56614,"3,5","3,3"
