,,,,,,,,
,Vítimas mortais,,Feridos graves,,Feridos leves,,Total de vítimas,
,,,,,,,,
,2002,2003,2002,2003,2002,2003,2002,2003
Veículos ligeiros (1),442,432,1419,1339,18609,18456,20470,20227
,,,,,,,,
<=14,1,0,0,1,8,5,9,6
15-19,25,12,79,76,1005,903,1109,991
20-24,76,77,244,253,3452,3374,3772,3704
25-29,56,63,233,246,3186,3090,3475,3399
30-34,57,47,199,162,2412,2393,2668,2602
35-39,43,49,145,132,1965,1907,2153,2088
40-44,42,29,108,104,1646,1647,1796,1780
45-49,37,36,105,88,1308,1392,1450,1516
50-54,27,34,81,62,1019,1067,1127,1163
55-59,17,20,70,68,809,842,896,930
60-64,17,17,46,47,612,594,675,658
>=65,43,46,84,87,1067,1145,1194,1278
Veículos pesados (1),17,28,52,52,545,519,614,599
,,,,,,,,
<=14,0,0,0,0,0,0,0,0
15-19,0,0,0,0,5,2,5,2
20-24,1,2,2,1,51,31,54,34
25-29,3,1,8,6,84,84,95,91
30-34,1,4,13,8,81,87,95,99
35-39,2,3,4,9,87,76,93,88
40-44,3,4,6,4,67,72,76,80
45-49,0,7,8,6,57,51,65,64
50-54,3,3,5,6,48,46,56,55
55-59,3,2,3,6,32,36,38,44
60-64,0,2,3,3,22,22,25,27
>=65,1,0,0,1,6,8,7,9
Motociclos (1),179,171,458,495,3750,3555,4338,4203
<=14,1,0,2,1,3,6,6,7
15-19,20,10,94,72,655,583,769,665
20-24,38,39,96,122,805,730,939,891
25-29,47,42,101,109,837,820,985,971
30-34,24,28,72,65,464,473,560,566
35-39,22,23,23,48,302,274,347,345
40-44,14,12,24,23,223,238,261,273
45-49,5,7,14,24,140,150,159,181
50-54,2,4,7,11,87,82,96,97
55-59,1,1,4,3,70,67,75,71
60-64,0,2,7,2,54,51,61,55
>=65,4,3,6,12,70,66,80,81
