,,,,,,,,
,Colisão,,Despiste,,Atropelamento,,Total,
,,,,,,,,
,,,,,,,,
,2002,2003,2002,2003,2002,2003,2002,2003
,,,,,,,,
,,,,,,,,
Velocípedes,1215,1205,143,155,55,45,1413,1405
,,,,,,,,
Ciclomotores,4492,4073,1449,1644,243,224,6184,5941
,,,,,,,,
Motociclos,3398,3182,1154,1236,275,240,4827,4658
,,,,,,,,
Veículos ligeiros (1),37895,37139,9287,9406,6210,5989,53392,52534
,,,,,,,,
Passageiros,28645,28301,7209,7282,4670,4536,40524,40119
,,,,,,,,
Mercadorias,7509,7404,1726,1812,1037,1086,10272,10302
,,,,,,,,
Veículos pesados (2),2583,2418,420,390,320,284,3323,3092
,,,,,,,,
Passageiros,591,517,48,44,186,154,825,715
,,,,,,,,
Mercadorias,1765,1668,318,295,118,105,2201,2068
,,,,,,,,
Outros veículos,406,360,128,98,30,36,564,494
,,,,,,,,
,,,,,,,,
Total,49989,48377,12581,12929,7133,6818,69703,68124
,,,,,,,,
