,,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
,,,,,,,,,,,,,,
,Acidentes com vítimas,151,137,166,159,203,189,198,207,169,189,137,159,2064
,Acid.c/ mortos e f.graves,33,22,40,30,45,36,42,40,30,40,24,33,415
REGIÃO,Acid.com mortos,12,8,10,9,6,6,12,12,10,13,7,6,111
ALENTEJO,Mortos,15,9,11,9,7,6,15,15,12,15,11,6,131
,F.Graves,31,17,34,32,47,34,45,44,25,37,23,33,402
,F.Leves,183,157,192,191,244,236,225,256,192,221,159,187,2443
,Acidentes com vítimas,49,53,62,63,59,69,72,87,52,61,58,58,743
,Acid.c/ mortos e f.graves,11,8,14,13,18,13,18,11,6,15,7,15,149
Beja,Acid.com mortos,5,3,6,5,3,1,7,5,2,4,3,3,47
,Mortos,5,4,7,5,4,1,8,7,2,6,4,3,56
,F.Graves,8,5,8,14,19,14,19,12,5,16,5,13,138
,F.Leves,58,63,74,82,77,95,80,124,61,73,74,70,931
,Acidentes com vítimas,64,61,69,57,90,75,72,81,73,85,39,52,818
,Acid.c/ mortos e f.graves,11,8,13,10,19,12,9,22,12,17,7,9,149
Évora,Acid.com mortos,5,3,2,3,3,3,1,4,5,7,2,0,38
,Mortos,7,3,2,3,3,3,1,5,7,7,5,0,46
,F.Graves,13,8,14,9,20,10,11,22,10,13,8,9,147
,F.Leves,81,67,84,63,97,87,87,84,87,100,41,53,931
,Acidentes com vítimas,38,23,35,39,54,45,54,39,44,43,40,49,503
,Acid.c/ mortos e f.graves,11,6,13,7,8,11,15,7,12,8,10,9,117
Portalegre,Acid.com mortos,2,2,2,1,0,2,4,3,3,2,2,3,26
,Mortos,3,2,2,1,0,2,6,3,3,2,2,3,29
,F.Graves,10,4,12,9,8,10,15,10,10,8,10,11,117
,F.Leves,44,27,34,46,70,54,58,48,44,48,44,64,581
