,,,,,,,,,
,1999,2000,00/99,2001,01/00,2002,02/01,2003,03/02
,,,,,,,,,
Vítimas mortais,1750,1629,-121,1466,-163,1469,3,1356,-113
Condutores,1022,916,-106,838,-78,832,-6,836,4
Passageiros,383,376,-7,332,-44,340,8,274,-66
Peões,345,337,-8,296,-41,297,1,246,-51
Feridos Graves,7697,6918,-779,5797,-1121,4770,-1027,4659,-111
Condutores,4115,3777,-338,3134,-643,2625,-509,2605,-20
Passageiros,2045,1776,-269,1565,-211,1239,-326,1152,-87
Peões,1537,1365,-172,1098,-267,906,-192,902,-4
Feridos Leves,57630,53006,-4624,51247,-1759,51815,568,50599,-1216
Condutores,32253,29316,-2937,28650,-666,29286,636,28630,-656
Passageiros,18532,17216,-1316,16008,-1208,16002,-6,15643,-359
Peões,6845,6474,-371,6589,115,6527,-62,6326,-201
Total,67077,61553,-5524,58510,-3043,58054,-456,56614,-1440
Condutores,37390,34009,-3381,32622,-1387,32743,121,32071,-672
Passageiros,20960,19368,-1592,17905,-1463,17581,-324,17069,-512
Peões,8727,8176,-551,7983,-193,7730,-253,7474,-256
