,,,,,,,,
,Vítimas mortais,,Feridos graves,,Feridos leves,,Total de vítimas,
,,,,,,,,
,2002,2003,2002,2003,2002,2003,2002,2003
Dentro das localidades,197,163,794,785,6090,5919,7081,6867
Surgindo inesperadamente faixa rodagem,77,70,325,276,1656,1575,2058,1921
Desrespeito pela sinalização,2,3,23,29,183,202,208,234
Influenciado pelo álcool,1,1,18,11,109,110,128,122
Nenhuma,99,78,376,402,3570,3656,4045,4136
Não definida,18,11,52,67,572,376,642,454
Fora das localidades,100,83,112,117,437,407,649,607
Surgindo inesperadamente faixa rodagem,56,50,39,56,156,115,251,221
Desrespeito pela sinalização,1,2,1,5,12,8,14,15
Influenciado pelo álcool,2,0,1,2,19,19,22,21
Nenhuma,36,29,68,47,234,252,338,328
Não definida,5,2,3,7,16,13,24,22
Total,297,246,906,902,6527,6326,7730,7474
Surgindo inesperadamente faixa rodagem,133,120,364,332,1812,1690,2309,2142
Desrespeito pela sinalização,3,5,24,34,195,210,222,249
Influenciado pelo álcool,3,1,19,13,128,129,150,143
Nenhuma,135,107,444,449,3804,3908,4383,4464
Não definida,23,13,55,74,588,389,666,476
