,,,"Não
infractores",Infractores,,,,,Total de,Inf./Test.
,,,"0.00-0.49
g/l","0.50-0.79
g/l","0.80-1.19
g/l",,">=1,20 g/l",Total,testes,%
,,Duas rodas,1024,48,61,,344,453,1477,"30,7"
,00-04,Ligeiros,60104,3363,3518,,5204,12085,72189,"16,7"
,,,61128,3411,3579,,5548,12538,73666,"17,0"
,,Duas rodas,662,10,24,,71,105,767,"13,7"
,04-08,Ligeiros,30611,2135,2677,,3558,8370,38981,"21,5"
,,,31273,2145,2701,,3629,8475,39748,"21,3"
,,Duas rodas,2004,1,7,,68,76,2080,"3,7"
,08-12,Ligeiros,87082,189,265,,576,1030,88112,"1,2"
,,,89086,190,272,,644,1106,90192,"1,2"
,,Duas rodas,2488,23,39,,116,178,2666,"6,7"
,12-16,Ligeiros,86463,611,380,,572,1563,88026,"1,8"
,,,88951,634,419,,688,1741,90692,"1,9"
,,Duas rodas,2968,50,81,,263,394,3362,"11,7"
,16-20,Ligeiros,99196,1056,1074,,1652,3782,102978,"3,7"
,,,102164,1106,1155,,1915,4176,106340,"3,9"
,,Duas rodas,1693,43,78,,321,442,2135,"20,7"
,20-24,Ligeiros,53290,1215,1375,,2411,5001,58291,"8,6"
,,,54983,1258,1453,,2732,5443,60426,"9,0"
,,Duas rodas,10839,175,290,,1183,1648,12487,"13,2"
,Total,Ligeiros,416746,8569,9289,,13973,31831,448577,"7,1"
,,,427585,8744,9579,,15156,33479,461064,"7,3"
