,,,"Não
infractores",Infractores,,,,"Total de
testes",,
,,,,,,,,,,Inf./Test.
,,,"0.00-0.49
g/l","0.50-0.79
g/l","0.80-1,19",">=1,20 g/l",Total,,,%
,,,,,g/l,,,,,
,,Braga,29699,660,515,745,1920,31619,,"6,1"
REGIÃO,,Bragança,11074,170,218,298,686,11760,,"5,8"
NORTE,,Porto,48191,560,577,1050,2187,50378,,"4,3"
,,V. Castelo,13418,484,380,466,1330,14748,,"9,0"
,,Vila Real,11523,534,511,733,1778,13301,,"13,4"
,,,113905,2408,2201,3292,7901,121806,,"6,5"
,,Aveiro,42204,433,593,1325,2351,44555,,"5,3"
,,C. Branco,12044,287,420,557,1264,13308,,"9,5"
REGIÃO,,Coimbra,19518,201,183,559,943,20461,,"4,6"
CENTRO,,Guarda,8585,135,186,359,680,9265,,"7,3"
,,Leiria,24141,447,520,758,1725,25866,,"6,7"
,,Viseu,22062,627,699,921,2247,24309,,"9,2"
,,,128554,2130,2601,4479,9210,137764,,"6,7"
,REGIÃO DE,Lisboa,95325,1941,1989,2741,6671,101996,,"6,5"
,LISBOA E,Santarém,15172,230,331,612,1173,16345,,"7,2"
,VALE TEJO,Setúbal,40955,809,908,1365,3082,44037,,"7,0"
,,,151452,2980,3228,4718,10926,162378,,"6,7"
,,Beja,15830,265,336,538,1139,16969,,"6,7"
REGIÃO DO,,Évora,15927,324,312,538,1174,17101,,"6,9"
ALENTEJO,,Portalegre,14578,136,193,330,659,15237,,"4,3"
,,,46335,725,841,1406,2972,49307,,"6,0"
,"REGIÃO
ALGARVE",Faro,25317,717,,1546,3147,28464,,
,,,,,884,,,,,"11,1"
,,,,,,,,,,
,TOTAL,,465563,8960,9755,15441,34156,499719,,"6,8"
