,,,,,,,,
,Vítimas mortais,,Feridos graves,,Feridos leves,,Total de vítimas,
,,,,,,,,
,2002,2003,2002,2003,2002,2003,2002,2003
,,,,,,,,
Dia,493,507,1676,1636,20585,20348,22754,22491
,,,,,,,,
Com sol encandeante,9,4,16,9,138,126,163,139
Em pleno dia,484,503,1660,1627,20447,20222,22591,22352
Noite,333,327,935,962,8576,8209,9844,9498
,,,,,,,,
De noite em via com iluminação,136,153,551,537,5488,5236,6175,5926
,,,,,,,,
De noite em via sem iluminação,197,174,384,425,3088,2973,3669,3572
,,,,,,,,
Total (1),832,836,2625,2605,29286,28630,32743,32071
