,,,,,,,,,,,,,,
,Mortos,,,,,,,Feridos graves,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,Motoc*,,Total,,Ligeiro*,,,,,Total
,Peões,Ligeiro*,Pesado*,Ciclom*,,Veloc*.,,Peões,,Pesado*,Ciclom*,Motoc*,Veloc*.,
,,,,,,,(2),,,,,,,(2)
REGIÃO,,,,,44,,,,564,,,,,
CENTRO,68,203,8,47,,30,409,178,,26,176,134,41,1134
,,,,,,,,,,,,,,
Aveiro,13,33,1,9,14,15,87,46,121,3,59,30,11,271
,,,,,,,,,,,,,,
C. Branco,4,16,2,4,2,2,31,24,66,1,14,15,3,125
,,,,,,,,,,,,,,
Coimbra,21,34,1,15,7,7,87,20,65,6,19,17,6,133
,,,,,,,,,,,,,,
Guarda,3,27,1,2,5,1,42,13,60,6,16,6,2,107
,,,,,,,,,,,,,,
Leiria,13,53,2,10,12,5,96,41,155,5,40,43,16,306
,,,,,,,,,,,,,,
Viseu,14,40,1,7,4,0,66,34,97,5,28,23,3,192
,,,,,,,,,,,,,,
