,,CONTRA-ORDENAÇÕES,,,,
,,M. Graves,Graves,Leves,,
,,,,,,Total (1)
,,,,,,
,Janeiro,2 193,17 925,66 757,,86 891
Fevereiro,,2 193,18 302,82 812,,103 317
,,,,,,
Março,,1 383,13 842,59 251,,74 489
,,,,,,
,Abril,1 931,16 013,78 146,,96 105
Maio,,2 083,18 693,83 196,,103 986
,,,,,,
Junho,,1 917,15 999,77 787,,95 718
,,,,,,
,Julho,3 404,24 819,99 068,,127 307
Agosto,,2 993,20 353,79 750,,103 106
,,,,,,
Setembro,,3 373,25 971,95 903,,125 255
,,,,,,
,Outubro,2 991,23 331,101 770,,128 105
Novembro,,2 515,20 491,86 462,,109 482
,,,,,,
Dezembro,,2 168,19 202,90 774,,112 157
,,,,,,
Total,,29 144,234 941,1 001 676,,
,,,,,,1 265 918
,,,,,,
