,,,,,,
,Feminino,,Masculino,,Total (1),
,,,,,,
,2002,2003,2002,2003,2002,2003
Feridos leves,8918,8865,7072,6765,16002,15643
,,,,,,
<=5,465,451,532,532,997,984
6-9,354,337,342,344,697,681
10-14,389,405,408,437,797,842
15-19,1014,939,1238,1087,2253,2027
20-24,1141,1093,1203,1156,2347,2250
25-29,894,881,762,715,1656,1596
30-34,592,636,559,496,1152,1133
35-39,485,496,371,369,856,865
40-44,531,531,311,331,843,863
45-49,494,520,261,250,755,770
50-54,501,543,199,254,700,798
55-59,433,431,147,167,582,598
60-64,465,441,151,137,617,580
>=65,1048,1056,471,409,1519,1467
Não def.,112,105,117,81,231,189
Total de vítimas,9642,9533,7926,7523,17581,17069
,,,,,,
<=5,499,468,571,554,1070,1023
6-9,373,361,370,362,744,723
10-14,424,440,447,468,871,908
15-19,1095,1018,1385,1231,2481,2250
20-24,1235,1190,1353,1317,2591,2508
25-29,954,937,884,817,1838,1754
30-34,629,674,636,549,1266,1224
35-39,519,535,427,409,946,944
40-44,590,580,339,364,930,945
45-49,538,549,292,287,830,836
50-54,535,581,225,278,761,860
55-59,477,461,164,186,643,647
60-64,496,482,167,154,664,638
>=65,1157,1148,521,453,1678,1603
Não def.,121,109,145,94,268,206
