,,,,,,
,Feminino,,Masculino,,Total (1),
,,,,,,
,2002,2003,2002,2003,2002,2003
Feridos leves,6853,7046,22368,21529,29286,28630
,,,,,,
<=14,41,27,265,265,308,292
15-19,373,380,2075,1890,2450,2270
20-24,1226,1286,3750,3378,4978,4666
25-29,1329,1299,3351,3210,4685,4512
30-34,1011,1104,2457,2354,3469,3463
35-39,865,825,2041,1958,2908,2785
40-44,675,679,1723,1756,2399,2435
45-49,473,520,1430,1493,1906,2018
50-54,329,352,1162,1181,1493,1533
55-59,214,233,998,1019,1215,1253
60-64,145,147,897,862,1043,1009
>=65,140,166,2050,2053,2193,2222
Não def.,32,28,169,110,239,172
Total de vítimas,7282,7433,25391,24579,32743,32071
,,,,,,
<=14,44,31,310,305,357,336
15-19,396,403,2373,2119,2771,2522
20-24,1299,1362,4217,3870,5518,5234
25-29,1411,1379,3792,3677,5208,5059
30-34,1082,1142,2809,2703,3892,3850
35-39,903,867,2308,2249,3214,3118
40-44,713,716,1949,1965,2663,2681
45-49,504,550,1621,1699,2128,2254
50-54,350,369,1314,1332,1666,1701
55-59,225,248,1135,1149,1363,1398
60-64,156,158,1001,975,1158,1133
>=65,163,177,2341,2403,2507,2583
Não def.,36,31,221,133,298,202
