,,,,,,,,
,Vítimas mortais,,Feridos graves,,Feridos leves,,Total de vítimas,
,,,,,,,,
,2002,2003,2002,2003,2002,2003,2002,2003
Ciclomotores (1),119,128,535,552,5026,4793,5680,5473
,,,,,,,,
<=14,0,0,4,6,26,19,30,25
15-19,14,5,68,58,660,612,742,675
20-24,9,16,61,47,577,449,647,512
25-29,8,10,61,59,504,438,573,507
30-34,9,9,39,53,422,426,470,488
35-39,5,7,50,53,484,455,539,515
40-44,8,8,42,48,381,411,431,467
45-49,12,7,26,41,334,366,372,414
50-54,9,6,25,29,271,284,305,319
55-59,6,7,34,28,250,251,290,286
60-64,6,12,22,20,275,274,303,306
>=65,32,39,90,107,788,774,910,920
Velocípedes (1),51,55,136,129,1145,1154,1332,1338
,,,,,,,,
<=14,6,4,35,32,270,262,311,298
15-19,2,3,18,13,122,165,142,181
20-24,2,2,7,8,89,78,98,88
25-29,0,3,4,4,68,70,72,77
30-34,2,2,7,8,79,74,88,84
35-39,4,3,6,4,59,69,69,76
40-44,5,7,9,2,65,57,79,66
45-49,6,2,6,13,56,47,68,62
50-54,4,3,7,5,50,47,61,55
55-59,1,1,7,4,42,46,50,51
60-64,3,8,3,5,54,51,60,64
>=65,12,14,22,29,176,170,210,213
Total (1) (2),832,836,2625,2605,29286,28630,32743,32071
<=14,8,4,41,40,308,292,357,336
15-19,61,30,260,222,2450,2270,2771,2522
20-24,127,137,413,431,4978,4666,5518,5234
25-29,116,121,407,426,4685,4512,5208,5059
30-34,93,91,330,296,3469,3463,3892,3850
35-39,76,86,230,247,2908,2785,3214,3118
40-44,74,61,190,185,2399,2435,2663,2681
45-49,62,62,160,174,1906,2018,2128,2254
50-54,48,51,125,117,1493,1533,1666,1701
55-59,30,32,118,113,1215,1253,1363,1398
60-64,31,44,84,80,1043,1009,1158,1133
>=65,99,110,215,251,2193,2222,2507,2583
