,,,,,,,,
,Vítimas mortais,,Feridos graves,,Feridos leves,,Total de vítimas,
,,,,,,,,
,2002,2003,2002,2003,2002,2003,2002,2003
,,,,,,,,
Segunda,33,29,155,126,1890,1974,2078,2129
,,,,,,,,
Terça,27,32,128,115,1885,1719,2040,1866
,,,,,,,,
Quarta,42,20,126,129,1819,1724,1987,1873
,,,,,,,,
Quinta,29,29,134,123,1763,1816,1926,1968
,,,,,,,,
Sexta,59,32,178,150,2308,2043,2545,2225
,,,,,,,,
Sábado,55,60,199,207,2730,2882,2984,3149
,,,,,,,,
Domingo,95,72,319,302,3607,3485,4021,3859
,,,,,,,,
Total,340,274,1239,1152,16002,15643,17581,17069
