,,,,,,,,
,Vítimas mortais,,Feridos graves,,Feridos leves,,Total de vítimas,
,,,,,,,,
,2002,2003,2002,2003,2002,2003,2002,2003
,,,,,,,,
Segunda,115,108,364,345,4105,4082,4584,4535
,,,,,,,,
Terça,113,91,334,329,4058,3837,4505,4257
,,,,,,,,
Quarta,82,110,317,337,3933,3945,4332,4392
,,,,,,,,
Quinta,91,105,331,307,3903,3935,4325,4347
,,,,,,,,
Sexta,132,123,393,429,4497,4385,5022,4937
,,,,,,,,
Sábado,140,140,453,464,4451,4516,5044,5120
,,,,,,,,
Domingo,159,159,433,394,4339,3930,4931,4483
,,,,,,,,
Total,832,836,2625,2605,29286,28630,32743,32071
