,,,Veículos interv. em,,,
,Veículos interv. em,,,,Veículos interv. em,
,,,acidentes com mortos,,,
,acidentes com vítimas,,,,acidentes com mortos,
,,,e/ou feridos graves,,,
,,,,,,
,,,,,,
,2002,2003,2002,2003,2002,2003
,,,,,,
,,,,,,
Velocípedes,1413,1405,202,196,57,56
Dentro Localidade,1142,1126,137,149,30,43
Fora Localidade,271,279,65,47,27,13
Ciclomotores,6184,5941,725,745,132,145
Dentro Localidade,4740,4630,488,502,62,83
Fora Localidade,1444,1311,237,243,70,62
Motociclos,4827,4658,727,755,213,208
Dentro Localidade,3570,3559,486,502,126,120
Fora Localidade,1257,1099,241,253,87,88
Veículos ligeiros,53392,52534,5414,5226,1360,1276
Dentro Localidade,35044,35184,2986,2920,519,487
Fora Localidade,18348,17350,2428,2306,841,789
Veículos pesados,3323,3092,600,566,224,194
Dentro Localidade,1759,1741,281,262,83,73
Fora Localidade,1564,1351,319,304,141,121
Total (1),69703,68124,7785,7592,2041,1917
Dentro Localidade,46592,46519,4440,4379,849,827
Fora Localidade,23111,21605,3345,3213,1192,1090
