,,,,,,
,Feminino,,Masculino,,Total (1),
,,,,,,
,2002,2003,2002,2003,2002,2003
Vítimas mortais,137,120,203,154,340,274
,,,,,,
<=5,5,4,6,4,11,8
6-9,1,0,5,2,6,2
10-14,7,7,5,8,12,15
15-19,13,8,34,26,47,34
20-24,15,15,43,28,58,43
25-29,8,14,33,21,41,35
30-34,4,5,19,11,23,16
35-39,7,5,12,6,19,11
40-44,10,7,7,7,17,14
45-49,9,9,4,12,13,21
50-54,8,5,6,5,14,10
55-59,11,7,3,5,14,12
60-64,9,5,2,6,11,11
>=65,29,26,17,8,46,34
Não def.,1,3,7,5,8,8
Feridos graves,587,548,651,604,1239,1152
,,,,,,
<=5,29,13,33,18,62,31
6-9,18,24,23,16,41,40
10-14,28,28,34,23,62,51
15-19,68,71,113,118,181,189
20-24,79,82,107,133,186,215
25-29,52,42,89,81,141,123
30-34,33,33,58,42,91,75
35-39,27,34,44,34,71,68
40-44,49,42,21,26,70,68
45-49,35,20,27,25,62,45
50-54,26,33,20,19,47,52
55-59,33,23,14,14,47,37
60-64,22,36,14,11,36,47
>=65,80,66,33,36,113,102
Não def.,8,1,21,8,29,9
