,,Acidentes c/,,Feridos,Feridos,Total de
,,,Mortos,,,
,,vítimas,,graves,leves,vítimas
,,,,,,
,Atropelamentos,1391,65,184,1291,1540
REGIÃO,Colisão,6327,213,569,8275,9057
CENTRO,Despiste,4022,131,381,4841,5353
,Total,11740,409,1134,14407,15950
,Atropelamentos,387,13,45,379,437
Aveiro,Colisão,2080,53,154,2637,2844
,Despiste,849,21,72,1034,1127
,Total,3316,87,271,4050,4408
,Atropelamentos,110,4,25,95,124
C. Branco,Colisão,307,16,44,408,468
,Despiste,299,11,56,342,409
,Total,716,31,125,845,1001
,Atropelamentos,260,18,20,252,290
Coimbra,Colisão,1150,39,63,1502,1604
,Despiste,860,30,50,1035,1115
,Total,2270,87,133,2789,3009
,Atropelamentos,55,3,15,42,60
Guarda,Colisão,252,18,39,324,381
,Despiste,311,21,53,349,423
,Total,618,42,107,715,864
,Atropelamentos,341,13,42,309,364
Leiria,Colisão,1682,51,176,2210,2437
,Despiste,1073,32,88,1303,1423
,Total,3096,96,306,3822,4224
,Atropelamentos,238,14,37,214,265
Viseu,Colisão,856,36,93,1194,1323
,Despiste,630,16,62,778,856
,Total,1724,66,192,2186,2444
