,,,,,,
,Feminino,,Masculino,,Total (1),
,,,,,,
,2002,2003,2002,2003,2002,2003
,,,,,,
<=14,49,32,336,327,389,360
,,,,,,
15-19,643,605,3625,3246,4272,3852
,,,,,,
20-24,2404,2450,8508,7899,10923,10359
,,,,,,
25-29,2680,2629,8094,7796,10793,10438
,,,,,,
30-34,2110,2184,6366,6056,8493,8254
,,,,,,
35-39,1791,1783,5330,5155,7143,6959
,,,,,,
40-44,1456,1487,4737,4719,6208,6216
,,,,,,
45-49,978,1023,3955,4093,4954,5130
,,,,,,
50-54,654,734,3453,3441,4113,4185
,,,,,,
55-59,422,445,2811,2743,3244,3194
,,,,,,
60-64,279,289,2278,2143,2560,2437
,,,,,,
>=65,271,320,4124,4323,4400,4649
,,,,,,
Não def.,67,56,433,336,1487,1388
,,,,,,
Total,13804,14037,54050,52277,68979,67421
