,,,2002,,2003,,
,,,Inspecções,Tx. Rep.,Inspecções,Tx. Rep.,
,,Braga,351698,"16,9",388591,"20,9",
REGIÃO,,Bragança,85760,"20,2",83691,"25,0",
NORTE,,Porto,721013,"18,1",782271,"18,9",
,,V. Castelo,110325,"21,0",119694,"17,5",
,,Vila Real,62016,"23,2",77511,"22,2",
,,,1330812,,1451758,,
,,Aveiro,335381,"19,9",369701,"24,1",
REGIÃO,,C. Branco,108086,"22,3",114093,"21,8",
CENTRO,,Coimbra,213479,"21,1",227439,"21,8",
,,Guarda,101334,"23,2",106549,"22,1",
,,Leiria,321550,"19,0",339150,"20,0",
,,Viseu,153317,"21,1",165427,"22,4",
,,,1233147,,1322359,,
REGIÃO DE,,Lisboa,831771,"20,3",872505,"23,4",
LISBOA,,Santarém,235219,"21,0",245552,"26,9",
E VALE TEJO,,Setúbal,293369,"22,5",320949,"24,6",
,,,1360359,,1439006,,
REGIÃO DO,,Beja,56876,"20,2",62057,"24,2",
ALENTEJO,,Évora,91327,"19,7",95333,"15,3",
,,Portalegre,51457,"21,4",55965,"21,5",
,,,199660,,213355,,
R. ALGARVE,,Faro,213169,"20,7",236659,"16,1",
TOTAL,,,4337147,,4663137,,
