,Vítimas mortais1,,,População2,Mortos/100 000 hab.,,
,2001,2002,"02/01
%",(milhares),2001,2002,"02/01
%"
Alemanha,6.977,6.842,"-1,9",82.440,"8,5","8,3","-1,9"
,,,,,,"8,3",
Áustria,958,956,"-0,2",8.033,"11,9","11,9","-0,2"
,,,,,,"11,9",
Bélgica,1.486,-,-,10263 a),"14,5",-,-
,,,,,,-,
Dinamarca,431,463,"7,4",5.368,"8,0","8,6","7,4"
,,,,,,"8,6",
Espanha,5.516,5.347,"-3,1",40.409,"13,7","13,2","-3,1"
,,,,,,"13,2",
Finlândia,433,415,"-4,2",5.195,"8,3","8,0","-4,2"
,,,,,,"8,0",
França,8.160,7.655,"-6,2",59.344,"13,8","12,9","-6,2"
,,,,,,"12,9",
Grécia,1.880,1.654,"-12,0",10554 b),"17,8","15,7","-12,0"
,,,,,,"15,7",
Irlanda,412,376,"-8,7",3.917,"10,5","9,6","-8,7"
,,,,,,"9,6",
Itália,6.682,-,-,57.844,"11,6",-,-
,,,,,,-,
Luxemburgo,69,62,"-10,1",444,"15,5","14,0","-10,1"
,,,,,,"14,0",
P. Baixos,993,987,"-0,6",16.105,"6,2","6,1","-0,6"
,,,,,,"6,1",
Portugal,1.671,1.675,"0,2",9.869 c),"16,9","16,9","-0,3"
,,,,,,"16,9",
Reino Unido,3.598,3.581,"-0,5",59.208,"6,1","6,0","-0,5"
,,,,,,"6,0",
Suécia,583,560,"-3,9",8.909,"6,5","6,3","-3,9"
,,,,,,"6,3",
