,,,Condutores interv. em,,,
,Condutores interv. em,,,,Condutores interv. em,
,,,acidentes com mortos e/ou,,,
,acidentes com vítimas,,,,acidentes com mortos,
,,,feridos graves,,,
,,,,,,
,2002,2003,2002,2003,2002,2003
,,,,,,
< 1 ano,2993,2521,300,266,77,50
,,,,,,
1 ano,5155,4809,523,516,119,136
,,,,,,
2 anos,5005,4128,539,427,155,95
,,,,,,
3 anos,4210,4427,468,462,127,114
,,,,,,
4 anos,3668,3852,411,412,123,103
,,,,,,
5 anos,3243,3221,346,318,88,82
,,,,,,
6 anos,3164,2806,335,303,99,86
,,,,,,
7 anos,2761,2908,276,307,71,77
,,,,,,
8 anos,2696,2536,280,243,77,61
,,,,,,
9 anos,2799,2485,254,254,68,60
,,,,,,
10-14 anos,9094,9622,981,998,256,287
,,,,,,
15-19 anos,4877,5061,552,566,158,125
,,,,,,
>= 20 anos,12882,13223,1423,1478,389,403
,,,,,,
Não definidos,3605,3011,517,408,117,75
,,,,,,
Sem carta,1835,1375,364,363,78,102
,,,,,,
Total (1),68979,67421,7716,7523,2039,1914
