,Acidentes c/,,Vítimas,,Feridos,,,,Total de,,Índice de,
,,,,,,,Feridos leves,,,,,
,vítimas,,mortais,,graves,,,,vítimas,,gravidade,
,,,,,,,,,,,,
,,,,,,,,,,,,
,2002,2003,2002,2003,2002,2003,2002,2003,2002,2003,2002,2003
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
PSP,13050,12309,191,167,1306,1173,14900,14006,16397,15346,"1,5","1,4"
,,,,,,,,,,,,
Janeiro,1121,1044,22,13,105,87,1239,1127,1366,1227,"2,0","1,2"
,,,,,,,,,,,,
Fevereiro,1016,932,18,11,100,101,1150,1033,1268,1145,"1,8","1,2"
,,,,,,,,,,,,
Março,1143,1031,17,12,108,86,1307,1188,1432,1286,"1,5","1,2"
,,,,,,,,,,,,
Abril,1060,1025,12,19,106,95,1207,1161,1325,1275,"1,1","1,9"
,,,,,,,,,,,,
Maio,1124,1038,19,10,125,101,1269,1176,1413,1287,"1,7","1,0"
,,,,,,,,,,,,
Junho,1055,1067,13,13,106,100,1209,1270,1328,1383,"1,2","1,2"
,,,,,,,,,,,,
Julho,1136,1083,14,14,123,101,1306,1274,1443,1389,"1,2","1,3"
,,,,,,,,,,,,
Agosto,972,978,15,13,101,105,1151,1121,1267,1239,"1,5","1,3"
,,,,,,,,,,,,
Setembro,999,1078,10,15,83,98,1162,1251,1255,1364,"1,0","1,4"
,,,,,,,,,,,,
Outubro,1144,1081,22,17,100,115,1290,1200,1412,1332,"1,9","1,6"
,,,,,,,,,,,,
Novembro,1149,981,13,14,123,86,1327,1105,1463,1205,"1,1","1,4"
,,,,,,,,,,,,
Dezembro,1131,971,16,16,126,98,1283,1100,1425,1214,"1,4","1,6"
,,,,,,,,,,,,
GNR,29169,29186,1278,1189,3464,3486,36915,36593,41657,41268,"4,4","4,1"
,,,,,,,,,,,,
Janeiro,2118,2208,81,97,227,231,2680,2749,2988,3077,"3,8","4,4"
,,,,,,,,,,,,
Fevereiro,2067,2003,101,73,244,240,2576,2367,2921,2680,"4,9","3,6"
,,,,,,,,,,,,
Março,2394,2219,133,92,339,263,3013,2693,3485,3048,"5,6","4,1"
,,,,,,,,,,,,
Abril,2212,2242,112,88,245,272,2721,2895,3078,3255,"5,1","3,9"
,,,,,,,,,,,,
Maio,2486,2571,91,109,302,352,3075,3126,3468,3587,"3,7","4,2"
,,,,,,,,,,,,
Junho,2569,2619,93,97,294,341,3323,3363,3710,3801,"3,6","3,7"
,,,,,,,,,,,,
Julho,2846,2643,143,108,374,304,3598,3308,4115,3720,"5,0","4,1"
,,,,,,,,,,,,
Agosto,2989,3181,115,125,344,416,4003,4271,4462,4812,"3,8","3,9"
,,,,,,,,,,,,
Setembro,2517,2479,114,109,264,267,3251,3058,3629,3434,"4,5","4,4"
,,,,,,,,,,,,
Outubro,2305,2530,96,105,284,287,2821,3165,3201,3557,"4,2","4,2"
,,,,,,,,,,,,
Novembro,2316,2133,92,87,242,235,2929,2665,3263,2987,"4,0","4,1"
,,,,,,,,,,,,
Dezembro,2350,2358,107,99,305,278,2925,2933,3337,3310,"4,6","4,2"
,,,,,,,,,,,,
Total,42219,41495,1469,1356,4770,4659,51815,50599,58054,56614,"3,5","3,3"
,,,,,,,,,,,,
