,,,,,,,,,
,1999,2000,00/99,2001,01/00,2002,02/01,2003,03/02
,,,,,,,,,
,,,,,,,,,
Vítimas mortais,345,337,-8,296,-41,297,1,246,-51
Dentro Localidade,226,219,-7,195,-24,197,2,163,-34
Fora Localidade,119,118,-1,101,-17,100,-1,83,-17
,,,,,,,,,
Feridos Graves,1537,1365,-172,1098,-267,906,-192,902,-4
,,,,,,,,,
Dentro Localidade,1363,1225,-138,959,-266,794,-165,785,-9
,,,,,,,,,
Fora Localidade,174,140,-34,139,-1,112,-27,117,5
,,,,,,,,,
Feridos Leves,6845,6474,-371,6589,115,6527,-62,6326,-201
,,,,,,,,,
Dentro Localidade,6314,5996,-318,6128,132,6090,-38,5919,-171
Fora Localidade,531,478,-53,461,-17,437,-24,407,-30
,,,,,,,,,
Total vítimas,8727,8176,-551,7983,-193,7730,-253,7474,-256
,,,,,,,,,
Dentro Localidade,7903,7440,-463,7282,-158,7081,-201,6867,-214
,,,,,,,,,
Fora Localidade,824,736,-88,701,-35,649,-52,607,-42
