,,,Escolas,Instrutores,,
,,,,Em escolas,Independentes,Total
,,Braga,105,463,,463
,REGIÃO,Bragança,21,85,,85
,NORTE,Porto,185,912,3,915
,,V. Castelo,38,165,,165
,,Vila Real,31,116,,116
,,,380,1741,3,1744
,,Aveiro,68,384,,384
,,C .Branco,24,137,,137
,REGIÃO,Coimbra,43,282,,282
,CENTRO,Guarda,29,127,,127
,,Leiria,51,281,,281
,,Viseu,57,255,,255
,,,272,1466,0,1466
,,Lisboa,143,998,,998
,REGIÃO LISBOA,Santarém,51,203,,203
,V. TEJO,Setúbal,58,369,,369
,,,252,1570,0,1570
,,Beja,24,90,,90
,REGIÃO,Évora,26,123,,123
,ALENTEJO,Portalegre,16,47,,47
,,,66,260,0,260
,R. ALGARVE,Faro,53,169,,169
,TOTAL,,1023,5206,3,5209
