,,,1999,2000,2001,2002,2003
,,Norte,13054,20811,23397,22804,20156
,,Centro,12612,17237,18257,17160,16516
,A,Lisboa e Vale do Tejo,18456,16938,18460,16399,14373
,,Alentejo,2244,2452,3070,2680,2390
,,Algarve,1991,2703,2575,2439,2259
,,Total,48357,60141,65759,61482,55694
,,Norte,55849,63532,59324,61876,51751
,,Centro,40191,39228,38283,37900,33566
,B,Lisboa e Vale do Tejo,48650,48226,47108,48297,42797
,,Alentejo,7513,6760,7055,6966,5750
,,Algarve,4744,6214,5674,5944,5319
,,Total,156947,163960,157444,160983,139183
,,Norte,2773,3388,3097,3282,2899
,,Centro,2963,3368,3391,3362,2801
,C,Lisboa e Vale do Tejo,2140,2269,2460,2553,2074
,,Alentejo,530,658,520,553,452
,,Algarve,243,334,307,334,294
,,Total,8649,10017,9775,10084,8520
,,Norte,804,709,793,892,834
,,Centro,615,570,571,630,593
,D,Lisboa e Vale do Tejo,678,763,769,729,581
,,Alentejo,133,134,138,155,113
,,Algarve,97,112,95,82,77
,,Total,2327,2288,2366,2488,2198
,,Norte,3309,4603,4902,5537,4859
,,Centro,4668,5414,5973,6040,4851
,E,Lisboa e Vale do Tejo,3500,3709,4153,4235,3918
,,Alentejo,751,960,842,1033,763
,,Algarve,304,412,470,488,488
,,Total,12532,15098,16340,17333,14879
TOTAL GERAL,,,228812,251504,251684,252370,220474
