Distrito de Braga,,,,,,,,
,,,,,,,,
Código,Km,km,Nº de,Nº de,Nº de,Nº de,Nº de,Indicador de
da via,Inicial,Final,Acidentes,Veículos,Mortos,F.Graves,F.Leves,Gravidade
EN101,"107,900","108,000",5,9,1,3,5,145
EN103,"7,400","7,400",5,10,0,0,7,21
EN103,"27,118","27,200",8,19,1,0,13,139
EN103-1,"6,500","6,700",5,9,0,1,6,28
EN14,"22,400","22,550",5,6,1,1,5,125
EN204,"33,800","33,937",5,13,0,1,12,46
EN205,"27,900","28,000",6,12,0,2,8,44
EN206,"30,800","31,000",6,12,0,0,10,30
A3 (1),"37,050","37,225",5,5,0,2,4,32
,,Total,50,95,3,10,70,
,,,,,,,,
Distrito do Porto,,,,,,,,
,,,,,,,,
EN1,292.600,292.800,10,19,0,2,11,53
EN1,293.800,294.000,5,10,0,0,7,21
EN101,129.500,129.650,8,20,0,1,9,37
EN101,129.900,130.100,5,8,0,1,5,25
EN105,9.100,9.300,6,12,0,1,8,34
EN106,28.000,28.100,5,9,0,2,9,47
EN109,6.800,7.000,9,16,2,0,16,248
EN109,7.400,7.600,5,12,1,0,11,133
EN109,7.850,8.000,7,16,0,2,13,59
EN13,9.200,9.300,7,14,1,0,17,151
EN15,11.800,12.000,5,10,0,0,7,21
EN206,2.000,2.100,5,11,0,0,8,24
EN210,71.800,71.950,6,13,0,0,9,27
A3 (2),3.125,3.250,6,21,0,0,8,24
A3 (2),15.850,16.000,5,9,1,1,5,125
A3 (2),16.125,16.320,8,10,0,0,12,36
A4 (2),16.700,16.850,8,16,2,3,11,263
A4 (1),18.775,18.925,5,14,0,0,10,30
A4 (2),18.850,19.050,8,18,0,1,14,52
A4 (1),43.450,43.625,8,12,0,0,14,42
IC1,333.400,333.600,5,6,0,1,6,28
IC1,342.800,343.000,5,5,1,1,10,140
IC23,2.000,2.000,6,12,0,1,7,31
IC23,3.000,3.000,6,13,0,0,10,30
IC29,4.000,4.000,6,7,0,0,12,36
IP1,299.950,300.100,7,8,1,3,5,145
IP4,59.300,59.400,8,13,0,0,12,36
IP4,66.500,66.700,5,6,0,1,12,46
IP4,69.425,69.600,15,19,0,0,25,75
IP4,70.600,70.800,6,11,0,2,15,65
IP4,72.600,72.800,9,14,0,2,15,65
,,Total,209,384,9,25,333,
(1) Sentido crescente da quilometragem,,,,,,,,
(2) Sentido decrescente da quilometragem,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
